HCPCS,LongDesc,SimCode,Sim_LongDesc
0052U,"Lipoprotein, blood, high resolution fractionation and quantitation of lipoproteins, including all five major lipoprotein classes and subclasses of HDL, LDL, and VLDL by vertical auto profile ultracentrifugation",83701,"Lipoprotein, blood; high resolution fractionation and quantitation of lipoproteins including lipoprotein subclasses when performed (eg, electrophoresis, ultracentrifugation)"
0053U,"Oncology (prostate cancer), FISH analysis of 4 genes (ASAP1, HDAC9, CHD1 and PTEN), needle biopsy specimen, algorithm reported as probability of higher tumor grade",81551,"Oncology (prostate), promoter methylation profiling by real-time PCR of 3 genes (GSTP1, APC, RASSF1), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a likelihood of prostate cancer detection on repeat biopsy"
0054U,"Prescription drug monitoring, 14 or more classes of drugs and substances, definitive tandem mass spectrometry with chromatography, capillary blood, quantitative report with therapeutic and toxic ranges, including steady-state range for the prescribed dose when detected, per date of service",80361,"Opiates, 1 or more"
0055U,"Cardiology (heart transplant), cell-free DNA, PCR assay of 96 DNA target sequences (94 single nucleotide polymorphism targets and two control targets), plasma",81595,"Cardiology (heart transplant), mRNA, gene expression profiling by real-time quantitative PCR of 20 genes (11 content and 9 housekeeping), utilizing subfraction of peripheral blood, algorithm reported as a rejection risk score"
0056U,"Hematology (acute myelogenous leukemia), DNA, whole genome next-generation sequencing to detect gene rearrangement(s), blood or bone marrow, report of specific gene rearrangement(s)",0014U,"Hematology (hematolymphoid neoplasia), gene rearrangement detection by whole genome next-generation sequencing, DNA, whole blood or bone marrow, report of specific gene rearrangement(s)"
0056U,"Hematology (acute myelogenous leukemia), DNA, whole genome next-generation sequencing to detect gene rearrangement(s), blood or bone marrow, report of specific gene rearrangement(s)",81264,"IGK@ (Immunoglobulin kappa light chain locus) (eg, leukemia and lymphoma, B-cell), gene rearrangement analysis, evaluation to detect abnormal clonal population(s)"
0057U,"Oncology (solid organ neoplasia), mRNA, gene expression profiling by massively parallel sequencing for analysis of 51 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a normalized percentile rank",81519,"Oncology (breast), mRNA, gene expression profiling by real-time RT-PCR of 21 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score"
0058U,"Oncology (Merkel cell carcinoma), detection of antibodies to the Merkel cell polyoma virus oncoprotein (small T antigen), serum, quantitative",86663,"Antibody; Epstein-Barr (EB) virus, early antigen (EA)"
0059U,"Oncology (Merkel cell carcinoma), detection of antibodies to the Merkel cell polyoma virus capsid protein (VP1), serum, reported as positive or negative",86665,"Antibody; Epstein-Barr (EB) virus, viral capsid (VCA)"
0060U,"Twin zygosity, genomic targeted sequence analysis of chromosome 2, using circulating cell-free fetal DNA in maternal blood",81420,"Fetal chromosomal aneuploidy (eg, trisomy 21, monosomy X) genomic sequence analysis panel, circulating cell-free fetal DNA in maternal blood, must include analysis of chromosomes 13, 18, and 21"
0060U,"Twin zygosity, genomic targeted sequence analysis of chromosome 2, using circulating cell-free fetal DNA in maternal blood",81265,"Comparative analysis using Short Tandem Repeat (STR) markers; patient and comparative specimen (eg, pre-transplant recipient and donor germline testing, post-transplant non-hematopoietic recipient germline [eg, buccal swab or other germline tissue sample] and donor testing, twin zygosity testing, or maternal cell contamination of fetal cells)"
0061U,"Transcutaneous measurement of five biomarkers (tissue oxygenation [StO2], oxyhemoglobin [ctHbO2], deoxyhemoglobin [ctHbR], papillary and reticular dermal hemoglobin concentrations [ctHb1 and ctHb2]), using spatial frequency domain imaging (SFDI) and multi-spectral analysis",88738,"Hemoglobin (Hgb), quantitative, transcutaneous"
0062U,"Autoimmune (systemic lupus erythematosus), IgG and IgM analysis of 80 biomarkers, utilizing serum, algorithm reported with a risk score",86039,Antinuclear antibodies (ANA); titer
0062U,"Autoimmune (systemic lupus erythematosus), IgG and IgM analysis of 80 biomarkers, utilizing serum, algorithm reported with a risk score",81490,"Autoimmune (rheumatoid arthritis), analysis of 12 biomarkers using immunoassays, utilizing serum, prognostic algorithm reported as a disease activity score"
