HCPCS,LongDesc
0054U,"Prescription drug monitoring, 14 or more classes of drugs and substances, definitive tandem mass spectrometry with chromatography, capillary blood, quantitative report with therapeutic and toxic ranges, including steady-state range for the prescribed dose when detected, per date of service"
0055U,"Cardiology (heart transplant), cell-free DNA, PCR assay of 96 DNA target sequences (94 single nucleotide polymorphism targets and two control targets), plasma"
0056U,"Hematology (acute myelogenous leukemia), DNA, whole genome next-generation sequencing to detect gene rearrangement(s), blood or bone marrow, report of specific gene rearrangement(s)"
0056U,"Hematology (acute myelogenous leukemia), DNA, whole genome next-generation sequencing to detect gene rearrangement(s), blood or bone marrow, report of specific gene rearrangement(s)"
0057U,"Oncology (solid organ neoplasia), mRNA, gene expression profiling by massively parallel sequencing for analysis of 51 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a normalized percentile rank"
0058U,"Oncology (Merkel cell carcinoma), detection of antibodies to the Merkel cell polyoma virus oncoprotein (small T antigen), serum, quantitative"
0059U,"Oncology (Merkel cell carcinoma), detection of antibodies to the Merkel cell polyoma virus capsid protein (VP1), serum, reported as positive or negative"
0060U,"Twin zygosity, genomic targeted sequence analysis of chromosome 2, using circulating cell-free fetal DNA in maternal blood"
0060U,"Twin zygosity, genomic targeted sequence analysis of chromosome 2, using circulating cell-free fetal DNA in maternal blood"
0061U,"Transcutaneous measurement of five biomarkers (tissue oxygenation [StO2], oxyhemoglobin [ctHbO2], deoxyhemoglobin [ctHbR], papillary and reticular dermal hemoglobin concentrations [ctHb1 and ctHb2]), using spatial frequency domain imaging (SFDI) and multi-spectral analysis"
0062U,"Autoimmune (systemic lupus erythematosus), IgG and IgM analysis of 80 biomarkers, utilizing serum, algorithm reported with a risk score"
0062U,"Autoimmune (systemic lupus erythematosus), IgG and IgM analysis of 80 biomarkers, utilizing serum, algorithm reported with a risk score"
0063U,"Neurology (autism), 32 amines by LCMS/MS, using plasma, algorithm reported as metabolic signature associated with autism spectrum disorder"
0063U,"Neurology (autism), 32 amines by LCMS/MS, using plasma, algorithm reported as metabolic signature associated with autism spectrum disorder"
0063U,"Neurology (autism), 32 amines by LCMS/MS, using plasma, algorithm reported as metabolic signature associated with autism spectrum disorder"
0064U,"Antibody, Treponema pallidum, total and rapid plasma reagin (RPR), immunoassay, qualitative"
0064U,"Antibody, Treponema pallidum, total and rapid plasma reagin (RPR), immunoassay, qualitative"
0065U,"Syphilis test, non-treponemal antibody, immunoassay, qualitative (RPR)"
0066U,"Placental alpha-micro globulin-1 (PAMG1), immunoassay with direct optical observation, cervico-vaginal fluid, each specimen"
0066U,"Placental alpha-micro globulin-1 (PAMG1), immunoassay with direct optical observation, cervico-vaginal fluid, each specimen"
0067U,"Oncology (breast), immunohistochemistry, protein expression profiling of 4 biomarkers (matrix metalloproteinase-1 [MMP-1], carcinoembryonic antigen-related cell adhesion molecule 6 [CEACAM6], hyaluronoglucosaminidase [HYAL1], highly expressed in cancer pr"
0067U,"Oncology (breast), immunohistochemistry, protein expression profiling of 4 biomarkers (matrix metalloproteinase-1 [MMP-1], carcinoembryonic antigen-related cell adhesion molecule 6 [CEACAM6], hyaluronoglucosaminidase [HYAL1], highly expressed in cancer pr"
0068U,"Candida species panel (C. albicans, C. glabrata, C. parapsilosis, C. kruseii, C tropicalis, and C. auris), amplified probe technique with qualitative report of the presence or absence of each species"
0068U,"Candida species panel (C. albicans, C. glabrata, C. parapsilosis, C. kruseii, C tropicalis, and C. auris), amplified probe technique with qualitative report of the presence or absence of each species"
0069U,"Oncology (colorectal), microRNA, RT-PCR expression profiling of miR-31-3p, formalinfixed paraffin-embedded tissue, algorithm reported as an expression score"
0069U,"Oncology (colorectal), microRNA, RT-PCR expression profiling of miR-31-3p, formalinfixed paraffin-embedded tissue, algorithm reported as an expression score"
0070U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, common and select rare variants (ie, *2, *3, *4, *4N, *5, *6, *7, *8, *9, *10, *11, *12, *13, *14A, *14B, *15, *17, *29, *35, *36, *41, *57, *61, *63, *68,"
0070U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, common and select rare variants (ie, *2, *3, *4, *4N, *5, *6, *7, *8, *9, *10, *11, *12, *13, *14A, *14B, *15, *17, *29, *35, *36, *41, *57, *61, *63, *68,"
0071U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, full gene sequence (List separately in addition to code for primary procedure)"
0071U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, full gene sequence (List separately in addition to code for primary procedure)"
0072U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, CYP2D6-2D7 hybrid gene) (List separately in addition to code for primary procedure)"
0072U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, CYP2D6-2D7 hybrid gene) (List separately in addition to code for primary procedure)"
0073U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, CYP2D7-2D6 hybrid gene) (List separately in addition to code for primary procedure)"
0073U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, CYP2D7-2D6 hybrid gene) (List separately in addition to code for primary procedure)"
0074U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, non-duplicated gene when duplication/multiplication is trans) (List separately in addition to code for primary procedure)"
0074U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, non-duplicated gene when duplication/multiplication is trans) (List separately in addition to code for primary procedure)"
0075U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, 5’ gene duplication/multiplication) (List separately in addition to code for primary procedure)"
0075U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, 5’ gene duplication/multiplication) (List separately in addition to code for primary procedure)"
0076U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, 3’ gene duplication/ multiplication) (List separately in addition to code for primary procedure)"
0076U,"CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, 3’ gene duplication/ multiplication) (List separately in addition to code for primary procedure)"
0077U,"Immunoglobulin paraprotein (M-protein), qualitative, immunoprecipitation and mass spectrometry, blood or urine, including isotype"
0077U,"Immunoglobulin paraprotein (M-protein), qualitative, immunoprecipitation and mass spectrometry, blood or urine, including isotype"
0077U,"Immunoglobulin paraprotein (M-protein), qualitative, immunoprecipitation and mass spectrometry, blood or urine, including isotype"
0078U,"Pain management (opioid-use disorder) genotyping panel, 16 common variants (ie, ABCB1, COMT, DAT1, DBH, DOR, DRD1, DRD2, DRD4, GABA, GAL, HTR2A, HTTLPR, MTHFR, MUOR, OPRK1, OPRM1), buccal swab or other germline tissue sample, algorithm reported as positiv"
0079U,"Comparative DNA analysis using multiple selected single-nucleotide polymorphisms (SNPs), urine and buccal DNA, for specimen identity verification"
0079U,"Comparative DNA analysis using multiple selected single-nucleotide polymorphisms (SNPs), urine and buccal DNA, for specimen identity verification"
0505T,"Endovenous femoral-popliteal arterial revascularization, with transcatheter placement of intravascular stent graft(s) and closure by any method, including percutaneous or open vascular access, ultrasound guidance for vascular access when performed, all catheterization(s) and intraprocedural roadmapping and imaging guidance necessary to complete the intervention, all associated radiological supervision and interpretation, when performed, with crossing of the occlusive lesion in an extraluminal fashion"
0506T,"Macular pigment optical density measurement by heterochromatic flicker photometry, unilateral or bilateral, with interpretation and report"
0507T,"Near-infrared dual imaging (ie, simultaneous reflective and trans-illuminated light) of meibomian glands, unilateral or bilateral, with interpretation and report"
0507T,"Near-infrared dual imaging (ie, simultaneous reflective and trans-illuminated light) of meibomian glands, unilateral or bilateral, with interpretation and report"
0508T,"Pulse-echo ultrasound bone density measurement resulting in indicator of axial bone mineral density, tibia"
0509T,"Electroretinography (ERG) with interpretation and report, pattern (PERG)"
0509T,"Electroretinography (ERG) with interpretation and report, pattern (PERG)"
0510T,Removal of sinus tarsi implant
0510T,Removal of sinus tarsi implant
0511T,Removal and reinsertion of sinus tarsi implant
0511T,Removal and reinsertion of sinus tarsi implant
0512T,"Extracorporeal shock wave for integumentary wound healing, highenergy, including topical application and dressing care; initialwound"
0512T,"Extracorporeal shock wave for integumentary wound healing, highenergy, including topical application and dressing care; initialwound"
0513T,"Extracorporeal shock wave for integumentary wound healing, high energy, including topical application and dressing care; each additional wound"
0513T,"Extracorporeal shock wave for integumentary wound healing, high energy, including topical application and dressing care; each additional wound"
0514T,Intraoperative visual axis identification using patient fixation
0514T,Intraoperative visual axis identification using patient fixation
0515T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; complete system (includes electrode and generator [transmitter and battery])"
0515T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; complete system (includes electrode and generator [transmitter and battery])"
0515T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; complete system (includes electrode and generator [transmitter and battery])"
0515T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; complete system (includes electrode and generator [transmitter and battery])"
0515T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; complete system (includes electrode and generator [transmitter and battery])"
0516T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; electrode only"
0516T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; electrode only"
0516T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; electrode only"
0516T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; electrode only"
0516T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; electrode only"
0517T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; pulse generator component(s) (battery and/or transmitter) only"
0517T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; pulse generator component(s) (battery and/or transmitter) only"
0517T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; pulse generator component(s) (battery and/or transmitter) only"
0517T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; pulse generator component(s) (battery and/or transmitter) only"
0517T,"Insertion of wireless cardiac stimulator for left ventricular pacing, including device interrogation and programming, and imaging supervision and interpretation, when performed; pulse generator component(s) (battery and/or transmitter) only"
0518T,Removal of only pulse generator component(s) (battery and/or transmitter) of wireless cardiac stimulator for left ventricular pacing
0518T,Removal of only pulse generator component(s) (battery and/or transmitter) of wireless cardiac stimulator for left ventricular pacing
0519T,Removal and replacement of wireless cardiac stimulator for left ventricular pacing; pulse generator component(s) (battery and/or transmitter)
0519T,Removal and replacement of wireless cardiac stimulator for left ventricular pacing; pulse generator component(s) (battery and/or transmitter)
0519T,Removal and replacement of wireless cardiac stimulator for left ventricular pacing; pulse generator component(s) (battery and/or transmitter)
0520T,"Removal and replacement of wireless cardiac stimulator for left ventricular pacing; pulse generator component(s) (battery and/or transmitter), including placement of a new electrode"
0520T,"Removal and replacement of wireless cardiac stimulator for left ventricular pacing; pulse generator component(s) (battery and/or transmitter), including placement of a new electrode"
0520T,"Removal and replacement of wireless cardiac stimulator for left ventricular pacing; pulse generator component(s) (battery and/or transmitter), including placement of a new electrode"
0521T,"Interrogation device evaluation (in person) with analysis, review and report, includes connection, recording, and disconnection per patient encounter, wireless cardiac stimulator for left ventricular pacing"
0521T,"Interrogation device evaluation (in person) with analysis, review and report, includes connection, recording, and disconnection per patient encounter, wireless cardiac stimulator for left ventricular pacing"
0522T,"Programming device evaluation (in person) with iterative adjustment of the implantable device to test the function of the device and select optimal permanent programmed values with analysis, including review and report, wireless cardiac stimulator for left ventricular pacing"
0522T,"Programming device evaluation (in person) with iterative adjustment of the implantable device to test the function of the device and select optimal permanent programmed values with analysis, including review and report, wireless cardiac stimulator for left ventricular pacing"
0523T,"Intraprocedural coronary fractional flow reserve (FFR) with 3D functional mapping of color-coded FFR values for the coronary tree, derived from coronary angiogram data, for real-time review and interpretation of possible atherosclerotic stenosis(es) intervention"
0523T,"Intraprocedural coronary fractional flow reserve (FFR) with 3D functional mapping of color-coded FFR values for the coronary tree, derived from coronary angiogram data, for real-time review and interpretation of possible atherosclerotic stenosis(es) intervention"
0523T,"Intraprocedural coronary fractional flow reserve (FFR) with 3D functional mapping of color-coded FFR values for the coronary tree, derived from coronary angiogram data, for real-time review and interpretation of possible atherosclerotic stenosis(es) intervention"
0524T,"Endovenous catheter directed chemical ablation with balloon isolation of incompetent extremity vein, open or percutaneous, including all vascular access, catheter manipulation, diagnostic imaging, imaging guidance and monitoring"
0524T,"Endovenous catheter directed chemical ablation with balloon isolation of incompetent extremity vein, open or percutaneous, including all vascular access, catheter manipulation, diagnostic imaging, imaging guidance and monitoring"
0524T,"Endovenous catheter directed chemical ablation with balloon isolation of incompetent extremity vein, open or percutaneous, including all vascular access, catheter manipulation, diagnostic imaging, imaging guidance and monitoring"
0524T,"Endovenous catheter directed chemical ablation with balloon isolation of incompetent extremity vein, open or percutaneous, including all vascular access, catheter manipulation, diagnostic imaging, imaging guidance and monitoring"
0525T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; complete system (electrode and implantable monitor)"
0525T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; complete system (electrode and implantable monitor)"
0525T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; complete system (electrode and implantable monitor)"
0525T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; complete system (electrode and implantable monitor)"
0525T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; complete system (electrode and implantable monitor)"
0526T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; electrode only"
0526T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; electrode only"
0526T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; electrode only"
0526T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; electrode only"
0526T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; electrode only"
0527T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; implantable monitor only"
0527T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; implantable monitor only"
0527T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; implantable monitor only"
0527T,"Insertion or replacement of intracardiac ischemia monitoring system, including testing of the lead and monitor, initial system programming, and imaging supervision and interpretation; implantable monitor only"
0528T,"Programming device evaluation (in person) of intracardiac ischemia monitoring system with iterative adjustment of programmed values, with analysis, review, and report"
0528T,"Programming device evaluation (in person) of intracardiac ischemia monitoring system with iterative adjustment of programmed values, with analysis, review, and report"
0528T,"Programming device evaluation (in person) of intracardiac ischemia monitoring system with iterative adjustment of programmed values, with analysis, review, and report"
0529T,"Interrogation device evaluation (in person) of intracardiac ischemia monitoring system with analysis, review, and report"
0529T,"Interrogation device evaluation (in person) of intracardiac ischemia monitoring system with analysis, review, and report"
0529T,"Interrogation device evaluation (in person) of intracardiac ischemia monitoring system with analysis, review, and report"
0530T,"Removal of intracardiac ischemia monitoring system, including all imaging supervision and interpretation; complete system (electrode and implantable monitor)"
0530T,"Removal of intracardiac ischemia monitoring system, including all imaging supervision and interpretation; complete system (electrode and implantable monitor)"
0530T,"Removal of intracardiac ischemia monitoring system, including all imaging supervision and interpretation; complete system (electrode and implantable monitor)"
0530T,"Removal of intracardiac ischemia monitoring system, including all imaging supervision and interpretation; complete system (electrode and implantable monitor)"
0530T,"Removal of intracardiac ischemia monitoring system, including all imaging supervision and interpretation; complete system (electrode and implantable monitor)"
0531T,"Removal of intracardiac ischemia monitoring system, including all imaging supervision and interpretation; electrode only"
0531T,"Removal of intracardiac ischemia monitoring system, including all imaging supervision and interpretation; electrode only"
0531T,"Removal of intracardiac ischemia monitoring system, including all imaging supervision and interpretation; electrode only"
0532T,"Removal of intracardiac ischemia monitoring system, including all imaging supervision and interpretation; implantable monitor only"
0532T,"Removal of intracardiac ischemia monitoring system, including all imaging supervision and interpretation; implantable monitor only"
0532T,"Removal of intracardiac ischemia monitoring system, including all imaging supervision and interpretation; implantable monitor only"
0533T,"Continuous recording of movement disorder symptoms, including bradykinesia, dyskinesia, and tremor for 6 days up to 10 days; includes set-up, patient training, configuration of monitor, data upload, analysis and initial report configuration, download review, interpretation and report"
0533T,"Continuous recording of movement disorder symptoms, including bradykinesia, dyskinesia, and tremor for 6 days up to 10 days; includes set-up, patient training, configuration of monitor, data upload, analysis and initial report configuration, download review, interpretation and report"
0533T,"Continuous recording of movement disorder symptoms, including bradykinesia, dyskinesia, and tremor for 6 days up to 10 days; includes set-up, patient training, configuration of monitor, data upload, analysis and initial report configuration, download review, interpretation and report"
0534T,"Continuous recording of movement disorder symptoms, including bradykinesia, dyskinesia, and tremor for 6 days up to 10 days; set-up, patient training, configuration of monitor"
0534T,"Continuous recording of movement disorder symptoms, including bradykinesia, dyskinesia, and tremor for 6 days up to 10 days; set-up, patient training, configuration of monitor"
0535T,"Continuous recording of movement disorder symptoms, including bradykinesia, dyskinesia, and tremor for 6 days up to 10 days; data upload, analysis and initial report configuration"
0535T,"Continuous recording of movement disorder symptoms, including bradykinesia, dyskinesia, and tremor for 6 days up to 10 days; data upload, analysis and initial report configuration"
0536T,"Continuous recording of movement disorder symptoms, including bradykinesia, dyskinesia, and tremor for 6 days up to 10 days; download review, interpretation and report"
0536T,"Continuous recording of movement disorder symptoms, including bradykinesia, dyskinesia, and tremor for 6 days up to 10 days; download review, interpretation and report"
0537T,"Chimeric antigen receptor T-cell (CAR-T) therapy; harvesting of blood-derived T lymphocytes for development of genetically modified autologous CAR-T cells, per day"
0537T,"Chimeric antigen receptor T-cell (CAR-T) therapy; harvesting of blood-derived T lymphocytes for development of genetically modified autologous CAR-T cells, per day"
0537T,"Chimeric antigen receptor T-cell (CAR-T) therapy; harvesting of blood-derived T lymphocytes for development of genetically modified autologous CAR-T cells, per day"
0538T,"Chimeric antigen receptor T-cell (CAR-T) therapy; preparation of blood-derived T lymphocytes for transportation (eg, cryopreservation, storage)"
0538T,"Chimeric antigen receptor T-cell (CAR-T) therapy; preparation of blood-derived T lymphocytes for transportation (eg, cryopreservation, storage)"
0538T,"Chimeric antigen receptor T-cell (CAR-T) therapy; preparation of blood-derived T lymphocytes for transportation (eg, cryopreservation, storage)"
0539T,Chimeric antigen receptor T-cell (CAR-T) therapy; receipt and preparation of CAR-T cells foradministration
0539T,Chimeric antigen receptor T-cell (CAR-T) therapy; receipt and preparation of CAR-T cells foradministration
0539T,Chimeric antigen receptor T-cell (CAR-T) therapy; receipt and preparation of CAR-T cells foradministration
0539T,Chimeric antigen receptor T-cell (CAR-T) therapy; receipt and preparation of CAR-T cells foradministration
0540T,"Chimeric antigen receptor T-cell (CAR-T) therapy; CAR-T cell administration, autologous"
0540T,"Chimeric antigen receptor T-cell (CAR-T) therapy; CAR-T cell administration, autologous"
0540T,"Chimeric antigen receptor T-cell (CAR-T) therapy; CAR-T cell administration, autologous"
0541T,"Myocardial imaging by magnetocardiography (MCG) for detection of cardiac ischemia, by signal acquisition using minimum 36 channel grid, generation of magnetic-field time-series images, quantitative analysis of magnetic dipoles, machine learningderived clinical scoring, and automated report generation, single study;"
0541T,"Myocardial imaging by magnetocardiography (MCG) for detection of cardiac ischemia, by signal acquisition using minimum 36 channel grid, generation of magnetic-field time-series images, quantitative analysis of magnetic dipoles, machine learningderived clinical scoring, and automated report generation, single study;"
0541T,"Myocardial imaging by magnetocardiography (MCG) for detection of cardiac ischemia, by signal acquisition using minimum 36 channel grid, generation of magnetic-field time-series images, quantitative analysis of magnetic dipoles, machine learningderived clinical scoring, and automated report generation, single study;"
0542T,"Myocardial imaging by magnetocardiography (MCG) for detection of cardiac ischemia, by signal acquisition using minimum 36 channel grid, generation of magnetic-field time-series images, quantitative analysis of magnetic dipoles, machine learningderived clinical scoring, and automated report generation, single study; interpretation and report"
0542T,"Myocardial imaging by magnetocardiography (MCG) for detection of cardiac ischemia, by signal acquisition using minimum 36 channel grid, generation of magnetic-field time-series images, quantitative analysis of magnetic dipoles, machine learningderived clinical scoring, and automated report generation, single study; interpretation and report"
10004,"Fine needle aspiration biopsy, without imaging guidance; each additional lesion (List separately in addition to code for primary procedure)"
10005,"Fine needle aspiration biopsy, including ultrasound guidance; first lesion"
10006,"Fine needle aspiration biopsy, including ultrasound guidance; each additional lesion (List separately in addition to code for primary procedure)"
10007,"Fine needle aspiration biopsy, including fluoroscopic guidance; first lesion"
10007,"Fine needle aspiration biopsy, including fluoroscopic guidance; first lesion"
10008,"Fine needle aspiration biopsy, including fluoroscopic guidance; each additional lesion (List separately in addition to code for primary procedure)"
10008,"Fine needle aspiration biopsy, including fluoroscopic guidance; each additional lesion (List separately in addition to code for primary procedure)"
10009,"Fine needle aspiration biopsy, including CT guidance; first lesion"
10009,"Fine needle aspiration biopsy, including CT guidance; first lesion"
10010,"Fine needle aspiration biopsy, including CT guidance; each additional lesion (List separately in addition to code for primary procedure)"
10010,"Fine needle aspiration biopsy, including CT guidance; each additional lesion (List separately in addition to code for primary procedure)"
10011,"Fine needle aspiration biopsy, including MR guidance; first lesion"
10011,"Fine needle aspiration biopsy, including MR guidance; first lesion"
10012,"Fine needle aspiration biopsy, including MR guidance; each additional lesion (List separately in addition to code for primary procedure)"
10012,"Fine needle aspiration biopsy, including MR guidance; each additional lesion (List separately in addition to code for primary procedure)"
11102,"Tangential biopsy of skin (eg, shave, scoop, saucerize, curette); single lesion"
11103,"Tangential biopsy of skin (eg, shave, scoop, saucerize, curette); each separate/additional lesion (List separately in addition to code for primary procedure)"
11104,"Punch biopsy of skin (including simple closure, when performed); single lesion"
11105,"Punch biopsy of skin (including simple closure, when performed); each separate/additional lesion (List separately in addition to code for primary procedure)"
11106,"Incisional biopsy of skin (eg, wedge) (including simple closure, when performed); single lesion"
11107,"Incisional biopsy of skin (eg, wedge) (including simple closure, when performed); each separate/additional lesion (List separately in addition to code for primary procedure)"
20932,"Allograft, includes templating, cutting, placement and internal fixation, when performed; osteoarticular, including articular surface and contiguous bone (List separately in addition to code for primary procedure)"
20932,"Allograft, includes templating, cutting, placement and internal fixation, when performed; osteoarticular, including articular surface and contiguous bone (List separately in addition to code for primary procedure)"
20933,"Allograft, includes templating, cutting, placement and internal fixation, when performed; hemicortical intercalary, partial (ie, hemicylindrical) (List separately in addition to code for primary procedure)"
20933,"Allograft, includes templating, cutting, placement and internal fixation, when performed; hemicortical intercalary, partial (ie, hemicylindrical) (List separately in addition to code for primary procedure)"
20934,"Allograft, includes templating, cutting, placement and internal fixation, when performed; intercalary, complete (ie, cylindrical) (List separately in addition to code for primary procedure)"
20934,"Allograft, includes templating, cutting, placement and internal fixation, when performed; intercalary, complete (ie, cylindrical) (List separately in addition to code for primary procedure)"
27369,Injection procedure for contrast knee arthrography or contrast enhanced CT/MRI knee arthrography
33274,"Transcatheter insertion or replacement of permanent leadless pacemaker, right ventricular, including imaging guidance (eg, fluoroscopy, venous ultrasound, ventriculography, femoral venography) and device evaluation (eg, interrogation or programming), when performed"
33274,"Transcatheter insertion or replacement of permanent leadless pacemaker, right ventricular, including imaging guidance (eg, fluoroscopy, venous ultrasound, ventriculography, femoral venography) and device evaluation (eg, interrogation or programming), when performed"
33274,"Transcatheter insertion or replacement of permanent leadless pacemaker, right ventricular, including imaging guidance (eg, fluoroscopy, venous ultrasound, ventriculography, femoral venography) and device evaluation (eg, interrogation or programming), when performed"
33274,"Transcatheter insertion or replacement of permanent leadless pacemaker, right ventricular, including imaging guidance (eg, fluoroscopy, venous ultrasound, ventriculography, femoral venography) and device evaluation (eg, interrogation or programming), when performed"
33274,"Transcatheter insertion or replacement of permanent leadless pacemaker, right ventricular, including imaging guidance (eg, fluoroscopy, venous ultrasound, ventriculography, femoral venography) and device evaluation (eg, interrogation or programming), when performed"
33275,"Transcatheter removal of permanent leadless pacemaker, right ventricular"
33275,"Transcatheter removal of permanent leadless pacemaker, right ventricular"
33275,"Transcatheter removal of permanent leadless pacemaker, right ventricular"
