HCPCS,LongDesc,SimCode,Sim_LongDesc
0104U,"Hereditary pan cancer (eg, hereditary breast and ovarian cancer, hereditary
endometrial cancer, hereditary colorectal
cancer), genomic sequence analysis panel utilizing a combination of NGS, Sanger, MLPA, and array CGH, with MRNA analytics to resolve vari",,
0543T,"Transapical mitral valve repair, including transthoracic echocardiography, when performed, with placement of artificial chordae tendineae",,
0544T,"Transcatheter mitral valve annulus reconstruction, with implantation of adjustable annulus reconstruction device, percutaneous approach including transseptal puncture",,
0545T,"Transcatheter tricuspid valve annulus reconstruciton with implantation of adjustable annulus reconstruction device, percutaneous approach",,
0546T,"Radiofrequency spectroscopy, real time, intraoperative margin assessment, at the time of partial mastectomy, with report",,
0547T,"Bone-material quality testing by microindentation(s) of the tibia(s), with results reported as a score",,
0548T,"Transperineal periurethral balloon continence device; bilateral placement, including cystoscopy and fluoroscopy",,
0549T,"Transperineal periurethral balloon continence device; unilateral placement, including cystoscopy and fluoroscopy",,
0550T,"Transperineal periurethral balloon continence device; removal, each balloon",,
0551T,Transperineal periurethral balloon continence device; adjustment of balloon(s) fluid volume,,
0552T,"Low-level laser therapy, dynamic photonic and dynamic thermokinetic energies, provided by a physician or other qualified health care professional",,
0553T,"Percutaneous transcatheter placement of iliac arteriovenous anastomosis implant, inclusive of all radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance necessary to complete the intervention",,
0554T,"Bone strength and fracture risk using finite element analysis of functional data, and bone-mineral density, utilizing data from a computed tomography scan; retrieval and transmission of the scan data, assessment of bone strength and fracture risk and bone",,
0555T,"Bone strength and fracture risk using finite element analysis of functional data, and bone-mineral density, utilizing data from a computed tomography scan; retrieval and transmission of the scan data",,
0556T,"Bone strength and fracture risk using finite element analysis of functional data, and bone-mineral density, utilizing data from a computed tomography scan; assessment of bone strength and fracture risk and bone mineral density",,
0557T,"Bone strength and fracture risk using finite element analysis of functional data, and bone-mineral density, utilizing data from a computed tomography scan; interpretation and report",,
0558T,Computed tomography scan taken for the purpose of biomechanical computed tomography analysis,,
0559T,Anatomic model 3D-printed from image data set(s); first individually prepared and processed component of an anatomic structure,,
0560T,Anatomic model 3D-printed from image data set(s); each additional individually prepared and processed component of an anatomic structure (List separately in addition to code for primary procedure) ,,
0561T,Anatomic guide 3D-printed and designed from image data set(s); first anatomic guide,,
0562T,Anatomic guide 3D-printed and designed from image data set(s); each additional anatomic guide (List separately in addition to code for primary procedure),,
90619,"Meningococcal conjugate vaccine, serogroups A, C, W, Y, quadrivalent, tetanus toxoid carrier (MenACWY-TT), for intramuscular use",,
J1444,"Injection, ferric pyrophosphate citrate powder, 0.1 mg of iron",,
J7208,"Injection, factor viii, (antihemophilic factor, recombinant), pegylated-aucl, (jivi), 1 i.u.",,
J7677,"Revefenacin inhalation solution, fda-approved final product, non-compounded, administered through DME, 1 microgram",,
J9030,"BCG live intravesical instillation, 1 mg",,
J9036,"Injection, bendamustine hydrochloride, (Belrapzo/bendamustine), 1 mg",,
J9356,"Injection, trastuzumab, 10 mg and Hyaluronidase-oysk",,
Q5112,"Injection, trastuzumab-dttb, biosimilar, (Ontruzant), 10 mg",,
Q5113,"Injection, trastuzumab-pkrb, biosimilar, (Herzuma), 10 mg ",,
Q5114,"Injection, Trastuzumab-dkst, biosimilar, (Ogivri), 10 mg",,
Q5115,"Injection, rituximab-abbs, biosimilar, (Truxima), 10 mg",,
