HCPCS,LongDesc,SimCode,Sim_LongDesc
77768,"Remote afterloading high dose rate radionuclide skin surface brachytherapy, includes basic dosimetry, when performed; lesion diameter over 2.0 cm and 2 or more channels, or multiple lesions",0182T,"High dose rate electronic brachytherapy, per fraction"
33477,"Transcatheter pulmonary valve implantation, percutaneous approach, including pre-stenting of the valve delivery site, when performed",0262T,"Implantation of catheter-delivered prosthetic pulmonary valve, endovascular approach"
93050,"Arterial pressure waveform analysis for assessment of central arterial pressures, includes obtaining waveform(s), digitization and application of nonlinear mathematical transformations to determine central arterial pressures and augmentation index, with interpretation and report, upper extremity artery, non-invasive",0311T,Non-invasive calculation and analysis of central arterial pressure waveforms with interpretation and report
0404T,"Transcervical uterine fibroid(s) ablation with ultrasound guidance, radiofrequency",0336T,"Laparoscopy, surgical, ablation of uterine fibroid(s), including intraoperative ultrasound guidance and monitoring, radiofrequency"
0422T,"Tactile breast imaging by computer-aided tactile sensors, unilateral or bilateral",0346T,"Ultrasound, elastography (List separately in addition to code for primary procedure)"
49185,"Sclerotherapy of a fluid collection (eg, lymphocele, cyst, or seroma), percutaneous, including contrast injection(s), sclerosant injection(s), diagnostic study, imaging guidance (eg, ultrasound, fluoroscopy) and radiological supervision and interpretation when performed",10030,"Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele, cyst), soft tissue (eg, extremity, abdominal wall, neck), percutaneous"
96931,"Reflectance confocal microscopy (RCM) for cellular and sub-cellular imaging of skin; image acquisition and interpretation and report, first lesion",11100,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single lesion"
96932,"Reflectance confocal microscopy (RCM) for cellular and sub-cellular imaging of skin; image acquisition only, first lesion",11100,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single lesion"
96933,"Reflectance confocal microscopy (RCM) for cellular and sub-cellular imaging of skin; interpretation and report only, first lesion",11100,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single lesion"
96934,"Reflectance confocal microscopy (RCM) for cellular and sub-cellular imaging of skin; image acquisition and interpretation and report, each additional lesion (List separately in addition to code for primary procedure)",11100,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single lesion"
96935,"Reflectance confocal microscopy (RCM) for cellular and sub-cellular imaging of skin; image acquisition only, each additional lesion (List separately in addition to code for primary procedure)",11100,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single lesion"
96936,"Reflectance confocal microscopy (RCM) for cellular and sub-cellular imaging of skin; interpretation and report only, each additional lesion (List separately in addition to code for primary procedure)",11100,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single lesion"
0420T,"Destruction of neurofibroma, extensive (cutaneous, dermal extending into subcutaneous); trunk and extremities, extensive, greater than 100 neurofibromas",11300,"Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.5 cm or less"
0419T,"Destruction of neurofibroma, extensive (cutaneous, dermal extending into subcutaneous); face, head and neck, greater than 50 neurofibromas",11305,"Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less"
0419T,"Destruction of neurofibroma, extensive (cutaneous, dermal extending into subcutaneous); face, head and neck, greater than 50 neurofibromas",11310,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less"
0419T,"Destruction of neurofibroma, extensive (cutaneous, dermal extending into subcutaneous); face, head and neck, greater than 50 neurofibromas",17111,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; 15 or more lesions"
0420T,"Destruction of neurofibroma, extensive (cutaneous, dermal extending into subcutaneous); trunk and extremities, extensive, greater than 100 neurofibromas",17111,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; 15 or more lesions"
10035,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; first lesion",19081,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including stereotactic guidance"
10036,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; each additional lesion (List separately in addition to code for primary procedure)",19082,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; each additional lesion, including stereotactic guidance (List separately in addition to code for primary procedure)"
10035,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; first lesion",19083,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including ultrasound guidance"
10036,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; each additional lesion (List separately in addition to code for primary procedure)",19084,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; each additional lesion, including ultrasound guidance (List separately in addition to code for primary procedure)"
10035,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; first lesion",19085,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including magnetic resonance guidance"
10036,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; each additional lesion (List separately in addition to code for primary procedure)",19086,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; each additional lesion, including magnetic resonance guidance (List separately in addition to code for primary procedure)"
10035,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; first lesion",19281,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including mammographic guidance"
10036,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; each additional lesion (List separately in addition to code for primary procedure)",19282,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including mammographic guidance (List separately in addition to code for primary procedure)"
10035,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; first lesion",19283,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including stereotactic guidance"
10036,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; each additional lesion (List separately in addition to code for primary procedure)",19284,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including stereotactic guidance (List separately in addition to code for primary procedure)"
10035,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; first lesion",19285,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including ultrasound guidance"
10036,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; each additional lesion (List separately in addition to code for primary procedure)",19286,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including ultrasound guidance (List separately in addition to code for primary procedure)"
10035,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; first lesion",19287,"Placement of breast localization device(s) (eg clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including magnetic resonance guidance"
10036,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; each additional lesion (List separately in addition to code for primary procedure)",19288,"Placement of breast localization device(s) (eg clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including magnetic resonance guidance (List separately in addition to code for primary procedure)"
0398T,"Magnetic resonance image guided high intensity focused ultrasound (MRgFUS), stereotactic ablation lesion, intracranial for movement disorder including stereotactic navigation and frame placement when performed",20660,"Application of cranial tongs, caliper, or stereotactic frame, including removal (separate procedure)"
0396T,Intra-operative use of kinetic balance sensor for implant stability during knee replacement arthroplasty (List separately in addition to code for primary procedure),27445,"Arthroplasty, knee, hinge prosthesis (eg, Walldius type)"
0396T,Intra-operative use of kinetic balance sensor for implant stability during knee replacement arthroplasty (List separately in addition to code for primary procedure),27446,"Arthroplasty, knee, condyle and plateau; medial OR lateral compartment"
0396T,Intra-operative use of kinetic balance sensor for implant stability during knee replacement arthroplasty (List separately in addition to code for primary procedure),27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)"
0396T,Intra-operative use of kinetic balance sensor for implant stability during knee replacement arthroplasty (List separately in addition to code for primary procedure),27486,"Revision of total knee arthroplasty, with or without allograft; 1 component"
0396T,Intra-operative use of kinetic balance sensor for implant stability during knee replacement arthroplasty (List separately in addition to code for primary procedure),27487,"Revision of total knee arthroplasty, with or without allograft; femoral and entire tibial component"
0396T,Intra-operative use of kinetic balance sensor for implant stability during knee replacement arthroplasty (List separately in addition to code for primary procedure),27488,"Removal of prosthesis, including total knee prosthesis, methylmethacrylate with or without insertion of spacer, knee"
0406T,"Nasal endoscopy, surgical, ethmoid sinus, placement of drug eluting implant",31200,"Ethmoidectomy; intranasal, anterior"
0407T,"Nasal endoscopy, surgical, ethmoid sinus, placement of drug eluting implant; with biopsy, polypectomy or debridement",31200,"Ethmoidectomy; intranasal, anterior"
0407T,"Nasal endoscopy, surgical, ethmoid sinus, placement of drug eluting implant; with biopsy, polypectomy or debridement",31237,"Nasal/sinus endoscopy, surgical; with biopsy, polypectomy or debridement (separate procedure)"
0406T,"Nasal endoscopy, surgical, ethmoid sinus, placement of drug eluting implant",31254,"Nasal/sinus endoscopy, surgical with ethmoidectomy; partial (anterior)"
0406T,"Nasal endoscopy, surgical, ethmoid sinus, placement of drug eluting implant",31290,"Nasal/sinus endoscopy, surgical, with repair of cerebrospinal fluid leak; ethmoid region"
0407T,"Nasal endoscopy, surgical, ethmoid sinus, placement of drug eluting implant; with biopsy, polypectomy or debridement",31290,"Nasal/sinus endoscopy, surgical, with repair of cerebrospinal fluid leak; ethmoid region"
31652,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with endobronchial ultrasound (EBUS) guided transtracheal and/or transbronchial sampling (eg, aspiration[s]/biopsy[ies]), one or two mediastinal and/or hilar lymph node stations or structures",31620,Endobronchial ultrasound (EBUS) during bronchoscopic diagnostic or therapeutic intervention(s) (List separately in addition to code for primary procedure[s])
31653,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with endobronchial ultrasound (EBUS) guided transtracheal and/or transbronchial sampling (eg, aspiration[s]/biopsy[ies]), 3 or more mediastinal and/or hilar lymph node stations or structures",31620,Endobronchial ultrasound (EBUS) during bronchoscopic diagnostic or therapeutic intervention(s) (List separately in addition to code for primary procedure[s])
31654,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with transendoscopic endobronchial ultrasound (EBUS) during bronchoscopic diagnostic or therapeutic intervention(s) for peripheral lesion(s) (List separately in addition to code for primary procedure[s])",31620,Endobronchial ultrasound (EBUS) during bronchoscopic diagnostic or therapeutic intervention(s) (List separately in addition to code for primary procedure[s])
31652,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with endobronchial ultrasound (EBUS) guided transtracheal and/or transbronchial sampling (eg, aspiration[s]/biopsy[ies]), one or two mediastinal and/or hilar lymph node stations or structures",31628,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with transbronchial lung biopsy(s), single lobe"
31653,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with endobronchial ultrasound (EBUS) guided transtracheal and/or transbronchial sampling (eg, aspiration[s]/biopsy[ies]), 3 or more mediastinal and/or hilar lymph node stations or structures",31628,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with transbronchial lung biopsy(s), single lobe"
31654,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with transendoscopic endobronchial ultrasound (EBUS) during bronchoscopic diagnostic or therapeutic intervention(s) for peripheral lesion(s) (List separately in addition to code for primary procedure[s])",31628,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with transbronchial lung biopsy(s), single lobe"
31652,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with endobronchial ultrasound (EBUS) guided transtracheal and/or transbronchial sampling (eg, aspiration[s]/biopsy[ies]), one or two mediastinal and/or hilar lymph node stations or structures",31629,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with transbronchial needle aspiration biopsy(s), trachea, main stem and/or lobar bronchus(i)"
31653,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with endobronchial ultrasound (EBUS) guided transtracheal and/or transbronchial sampling (eg, aspiration[s]/biopsy[ies]), 3 or more mediastinal and/or hilar lymph node stations or structures",31629,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with transbronchial needle aspiration biopsy(s), trachea, main stem and/or lobar bronchus(i)"
31654,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with transendoscopic endobronchial ultrasound (EBUS) during bronchoscopic diagnostic or therapeutic intervention(s) for peripheral lesion(s) (List separately in addition to code for primary procedure[s])",31632,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with transbronchial lung biopsy(s), each additional lobe (List separately in addition to code for primary procedure)"
10035,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; first lesion",32553,"Placement of interstitial device(s) for radiation therapy guidance (eg, fiducial markers, dosimeter), percutaneous, intra-thoracic, single or multiple"
10036,"Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; each additional lesion (List separately in addition to code for primary procedure)",32553,"Placement of interstitial device(s) for radiation therapy guidance (eg, fiducial markers, dosimeter), percutaneous, intra-thoracic, single or multiple"
0424T,"Insertion or replacement of neurostimulator system for treatment of central sleep apnea; complete system (transvenous placement of right or left stimulation lead, sensing lead, implantable pulse generator)",33206,Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); atrial
0411T,"Insertion or replacement of permanent cardiac contractility modulation system, including contractility evaluation when performed, and programming of sensing and therapeutic parameters; ventricular electrode only",33207,Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); ventricular
0408T,"Insertion or replacement of permanent cardiac contractility modulation system, including contractility evaluation when performed, and programming of sensing and therapeutic parameters; pulse generator with transvenous electrodes",33208,Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); atrial and ventricular
0415T,Repositioning of previously implanted cardiac contractility modulation transvenous electrode (atrial or ventricular lead),33215,Repositioning of previously implanted transvenous pacemaker or implantable defibrillator (right atrial or right ventricular) electrode
0432T,Repositioning of neurostimulator system for treatment of central sleep apnea; stimulation lead only,33215,Repositioning of previously implanted transvenous pacemaker or implantable defibrillator (right atrial or right ventricular) electrode
0433T,Repositioning of neurostimulator system for treatment of central sleep apnea; sensing lead only,33215,Repositioning of previously implanted transvenous pacemaker or implantable defibrillator (right atrial or right ventricular) electrode
0410T,"Insertion or replacement of permanent cardiac contractility modulation system, including contractility evaluation when performed, and programming of sensing and therapeutic parameters; atrial electrode only",33216,"Insertion of a single transvenous electrode, permanent pacemaker or implantable defibrillator"
0425T,Insertion or replacement of neurostimulator system for treatment of central sleep apnea; sensing lead only,33216,"Insertion of a single transvenous electrode, permanent pacemaker or implantable defibrillator"
0426T,Insertion or replacement of neurostimulator system for treatment of central sleep apnea; stimulation lead only,33216,"Insertion of a single transvenous electrode, permanent pacemaker or implantable defibrillator"
0409T,"Insertion or replacement of permanent cardiac contractility modulation system, including contractility evaluation when performed, and programming of sensing and therapeutic parameters; pulse generator only",33221,Insertion of pacemaker pulse generator only; with existing multiple leads
0427T,Insertion or replacement of neurostimulator system for treatment of central sleep apnea; pulse generator only,33221,Insertion of pacemaker pulse generator only; with existing multiple leads
0416T,Relocation of skin pocket for implanted cardiac contractility modulation pulse generator,33222,Relocation of skin pocket for pacemaker
0428T,Removal of neurostimulator system for treatment of central sleep apnea; pulse generator only,33228,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; dual lead system
0409T,"Insertion or replacement of permanent cardiac contractility modulation system, including contractility evaluation when performed, and programming of sensing and therapeutic parameters; pulse generator only",33229,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; multiple lead system
0414T,Removal and replacement of permanent cardiac contractility modulation system pulse generator only,33229,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; multiple lead system
0427T,Insertion or replacement of neurostimulator system for treatment of central sleep apnea; pulse generator only,33229,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; multiple lead system
0431T,"Removal and replacement of neurostimulator system for treatment of central sleep apnea, pulse generator only",33229,Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; multiple lead system
0412T,Removal of permanent cardiac contractility modulation system; pulse generator only,33233,Removal of permanent pacemaker pulse generator only
0413T,Removal of permanent cardiac contractility modulation system; transvenous electrode (atrial or ventricular),33234,"Removal of transvenous pacemaker electrode(s); single lead system, atrial or ventricular"
0429T,Removal of neurostimulator system for treatment of central sleep apnea; sensing lead only,33234,"Removal of transvenous pacemaker electrode(s); single lead system, atrial or ventricular"
0430T,Removal of neurostimulator system for treatment of central sleep apnea; stimulation lead only,33234,"Removal of transvenous pacemaker electrode(s); single lead system, atrial or ventricular"
0413T,Removal of permanent cardiac contractility modulation system; transvenous electrode (atrial or ventricular),33235,Removal of transvenous pacemaker electrode(s); dual lead system
0429T,Removal of neurostimulator system for treatment of central sleep apnea; sensing lead only,33235,Removal of transvenous pacemaker electrode(s); dual lead system
0430T,Removal of neurostimulator system for treatment of central sleep apnea; stimulation lead only,33235,Removal of transvenous pacemaker electrode(s); dual lead system
33477,"Transcatheter pulmonary valve implantation, percutaneous approach, including pre-stenting of the valve delivery site, when performed",33475,"Replacement, pulmonary valve"
61645,"Percutaneous arterial transluminal mechanical thrombectomy and/or infusion for thrombolysis, intracranial, any method, including diagnostic angiography, fluoroscopic guidance, catheter placement, and intraprocedural pharmacological thrombolytic injection(s)",37184,"Primary percutaneous transluminal mechanical thrombectomy, noncoronary, non-intracranial, arterial or arterial bypass graft, including fluoroscopic guidance and intraprocedural pharmacological thrombolytic injection(s); initial vessel"
37252,"Intravascular ultrasound (noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation; initial noncoronary vessel (List separately in addition to code for primary procedure)",37191,"Insertion of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoroscopy), when performed"
37253,"Intravascular ultrasound (noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation; each additional noncoronary vessel (List separately in addition to code for primary procedure)",37191,"Insertion of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoroscopy), when performed"
37252,"Intravascular ultrasound (noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation; initial noncoronary vessel (List separately in addition to code for primary procedure)",37192,"Repositioning of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoroscopy), when performed"
37253,"Intravascular ultrasound (noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation; each additional noncoronary vessel (List separately in addition to code for primary procedure)",37192,"Repositioning of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoroscopy), when performed"
37252,"Intravascular ultrasound (noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation; initial noncoronary vessel (List separately in addition to code for primary procedure)",37193,"Retrieval (removal) of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoroscopy), when performed"
37253,"Intravascular ultrasound (noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation; each additional noncoronary vessel (List separately in addition to code for primary procedure)",37193,"Retrieval (removal) of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoroscopy), when performed"
37252,"Intravascular ultrasound (noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation; initial noncoronary vessel (List separately in addition to code for primary procedure)",37197,"Transcatheter retrieval, percutaneous, of intravascular foreign body (eg, fractured venous or arterial catheter), includes radiological supervision and interpretation, and imaging guidance (ultrasound or fluoroscopy), when performed"
37253,"Intravascular ultrasound (noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation; each additional noncoronary vessel (List separately in addition to code for primary procedure)",37197,"Transcatheter retrieval, percutaneous, of intravascular foreign body (eg, fractured venous or arterial catheter), includes radiological supervision and interpretation, and imaging guidance (ultrasound or fluoroscopy), when performed"
61650,"Endovascular intracranial prolonged administration of pharmacologic agent(s) other than for thrombolysis, arterial, including catheter placement, diagnostic angiography, and imaging guidance; initial vascular territory",37202,"Transcatheter therapy, infusion other than for thrombolysis, any type (eg, spasmolytic, vasoconstrictive)"
61651,"Endovascular intracranial prolonged administration of pharmacologic agent(s) other than for thrombolysis, arterial, including catheter placement, diagnostic angiography, and imaging guidance; each additional vascular territory (List separately in addition to code for primary procedure)",37202,"Transcatheter therapy, infusion other than for thrombolysis, any type (eg, spasmolytic, vasoconstrictive)"
61645,"Percutaneous arterial transluminal mechanical thrombectomy and/or infusion for thrombolysis, intracranial, any method, including diagnostic angiography, fluoroscopic guidance, catheter placement, and intraprocedural pharmacological thrombolytic injection(s)",37211,"Transcatheter therapy, arterial infusion for thrombolysis other than coronary or intracranial, any method, including radiological supervision and interpretation, initial treatment day"
61645,"Percutaneous arterial transluminal mechanical thrombectomy and/or infusion for thrombolysis, intracranial, any method, including diagnostic angiography, fluoroscopic guidance, catheter placement, and intraprocedural pharmacological thrombolytic injection(s)",37213,"Transcatheter therapy, arterial or venous infusion for thrombolysis other than coronary, any method, including radiological supervision and interpretation, continued treatment on subsequent day during course of thrombolytic therapy, including follow-up catheter contrast injection, position change, or exchange, when performed"
49185,"Sclerotherapy of a fluid collection (eg, lymphocele, cyst, or seroma), percutaneous, including contrast injection(s), sclerosant injection(s), diagnostic study, imaging guidance (eg, ultrasound, fluoroscopy) and radiological supervision and interpretation when performed",37241,"Vascular embolization or occlusion, inclusive of all radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance necessary to complete the intervention; venous, other than hemorrhage (eg, congenital or acquired venous malformations, venous and capillary hemangiomas, varices, varicoceles)"
37252,"Intravascular ultrasound (noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation; initial noncoronary vessel (List separately in addition to code for primary procedure)",37250,Intravascular ultrasound (non-coronary vessel) during diagnostic evaluation and/or therapeutic intervention; initial vessel (List separately in addition to code for primary procedure)
