NewCode,NewCodeDesc,SameSimCode,CPTDesc,Accuracy,Comments
0106U,"Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope
ratio mass spectrometry, reported as rate of 13CO2 excretion",83013,"Helicobacter pylori; breath test analysis for urease activity, non-radioactive isotope (eg, C-13)",26.65873382,Present in Autoproposal
0106U,"Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope
ratio mass spectrometry, reported as rate of 13CO2 excretion",81050,"Volume measurement for timed collection, each",25.83922148,Present in Autoproposal
0106U,"Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope
ratio mass spectrometry, reported as rate of 13CO2 excretion",83788,"Mass spectrometry and tandem mass spectrometry (MS, MS/MS), analyte not elsewhere specified; qualitative, each specimen",22.6943915,Present in Autoproposal
0106U,"Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope
ratio mass spectrometry, reported as rate of 13CO2 excretion",0043T,"Carbon monoxide, expired gas analysis (eg, ETCOc/hemolysis breath test)",22.61903812,Present in Autoproposal
0106U,"Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope
ratio mass spectrometry, reported as rate of 13CO2 excretion",78264,"Gastric emptying imaging study (eg, solid, liquid, or both);",20.80480922,Present in Autoproposal
0106U,"Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope
ratio mass spectrometry, reported as rate of 13CO2 excretion",82340,"Calcium; urine quantitative, timed specimen",20.73231545,Present in Autoproposal
0106U,"Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope
ratio mass spectrometry, reported as rate of 13CO2 excretion",83009,"Helicobacter pylori, blood test analysis for urease activity, non-radioactive isotope (eg, C-13)",20.19762603,Present in Autoproposal
0106U,"Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope
ratio mass spectrometry, reported as rate of 13CO2 excretion",84580,"Urobilinogen, urine; quantitative, timed specimen",19.88695436,Present in Autoproposal
0106U,"Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope
ratio mass spectrometry, reported as rate of 13CO2 excretion",82930,"Gastric acid analysis, includes pH if performed, each specimen",19.42003709,Present in Autoproposal
0106U,"Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope
ratio mass spectrometry, reported as rate of 13CO2 excretion",83789,"Mass spectrometry and tandem mass spectrometry (eg, MS, MS/MS, MALDI, MS-TOF, QTOF), non-drug analyte(s) not elsewhere specified, qualitative or quantitative, each specimen",19.28923405,Present in Autoproposal
0107U,"Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method",87803,Infectious agent antigen detection by immunoassay with direct optical observation; Clostridium difficile toxin A,60.86075156,Present in Autoproposal
0107U,"Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method",87324,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Clostridium difficile toxin(s)",60.71442155,Present in Autoproposal
0107U,"Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method",87493,"Infectious agent detection by nucleic acid (DNA or RNA); Clostridium difficile, toxin gene(s), amplified probe technique",48.61237548,Present in Autoproposal
0107U,"Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method",87230,"Toxin or antitoxin assay, tissue culture (eg, Clostridium difficile toxin)",46.854067,Present in Autoproposal
0107U,"Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method",87427,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Shiga-like toxin",44.97878392,Present in Autoproposal
0107U,"Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method",87338,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Helicobacter pylori, stool",44.73909674,Present in Autoproposal
0107U,"Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method",87340,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; hepatitis B surface antigen (HBsAg)",40.27260876,Present in Autoproposal
0107U,"Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method",87350,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; hepatitis Be antigen (HBeAg)",40.00722414,Present in Autoproposal
0107U,"Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method",87390,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; HIV-1",39.53146984,Present in Autoproposal
0107U,"Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method",87391,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; HIV-2",39.53146984,Present in Autoproposal
0108U,"Gastroenterology (Barrettâs esophagus), whole slideâdigital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin- embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer",0008M,"Oncology (breast), mRNA analysis of 58 genes using hybrid capture, on formalin-fixed paraffin-embedded (FFPE) tissue, prognostic algorithm reported as a risk score",34.11132466,Present in Autoproposal
0108U,"Gastroenterology (Barrettâs esophagus), whole slideâdigital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin- embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer",0019U,"Oncology, RNA, gene expression by whole transcriptome sequencing, formalin-fixed paraffin embedded tissue or fresh frozen tissue, predictive algorithm reported as potential targets for therapeutic agents",32.08577236,Present in Autoproposal
0108U,"Gastroenterology (Barrettâs esophagus), whole slideâdigital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin- embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer",81504,"Oncology (tissue of origin), microarray gene expression profiling of > 2000 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as tissue similarity scores",32.04501501,Present in Autoproposal
0108U,"Gastroenterology (Barrettâs esophagus), whole slideâdigital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin- embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer",0067U,"Oncology (breast), immunohistochemistry, protein expression profiling of 4 biomarkers (matrix metalloproteinase-1 [MMP-1], carcinoembryonic antigen-related cell adhesion molecule 6 [CEACAM6], hyaluronoglucosaminidase [HYAL1], highly expressed in cancer protein [HEC1]), formalin-fixed paraffin-embedded precancerous breast tissue, algorithm reported as carcinoma risk score",31.46650112,Present in Autoproposal
0108U,"Gastroenterology (Barrettâs esophagus), whole slideâdigital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin- embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer",81520,"Oncology (breast), mRNA gene expression profiling by hybrid capture of 58 genes (50 content and 8 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence risk score",30.39828921,Present in Autoproposal
0108U,"Gastroenterology (Barrettâs esophagus), whole slideâdigital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin- embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer",0047U,"Oncology (prostate), mRNA, gene expression profiling by real-time RT-PCR of 17 genes (12 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a risk score",30.31730202,Present in Autoproposal
0108U,"Gastroenterology (Barrettâs esophagus), whole slideâdigital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin- embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer",81519,"Oncology (breast), mRNA, gene expression profiling by real-time RT-PCR of 21 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score",29.3672939,Present in Autoproposal
0108U,"Gastroenterology (Barrettâs esophagus), whole slideâdigital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin- embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer",81525,"Oncology (colon), mRNA, gene expression profiling by real-time RT-PCR of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence score",28.22102849,Present in Autoproposal
0108U,"Gastroenterology (Barrettâs esophagus), whole slideâdigital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin- embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer",81541,"Oncology (prostate), mRNA gene expression profiling by real-time RT-PCR of 46 genes (31 content and 15 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a disease-specific mortality risk score",27.64504734,Present in Autoproposal
0108U,"Gastroenterology (Barrettâs esophagus), whole slideâdigital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin- embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer",81521,"Oncology (breast), mRNA, microarray gene expression profiling of 70 content genes and 465 housekeeping genes, utilizing fresh frozen or formalin-fixed paraffin-embedded tissue, algorithm reported as index related to risk of distant metastasis",27.28607404,Present in Autoproposal
0109U,"Infectious disease (Aspergillus species), real-time PCR for detection of DNA from 4 species (A. fumigatus, A. terreus, A. niger, and A. flavus), blood, lavage fluid, or tissue, qualitative reporting of presence or absence of each species",0068U,"Candida species panel (C. albicans, C. glabrata, C. parapsilosis, C. kruseii, C tropicalis, and C. auris), amplified probe technique with qualitative report of the presence or absence of each species",45.38456054,Present in Autoproposal
0109U,"Infectious disease (Aspergillus species), real-time PCR for detection of DNA from 4 species (A. fumigatus, A. terreus, A. niger, and A. flavus), blood, lavage fluid, or tissue, qualitative reporting of presence or absence of each species",87552,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria species, quantification",40.82457114,Present in Autoproposal
0109U,"Infectious disease (Aspergillus species), real-time PCR for detection of DNA from 4 species (A. fumigatus, A. terreus, A. niger, and A. flavus), blood, lavage fluid, or tissue, qualitative reporting of presence or absence of each species",87482,"Infectious agent detection by nucleic acid (DNA or RNA); Candida species, quantification",40.41369694,Present in Autoproposal
0109U,"Infectious disease (Aspergillus species), real-time PCR for detection of DNA from 4 species (A. fumigatus, A. terreus, A. niger, and A. flavus), blood, lavage fluid, or tissue, qualitative reporting of presence or absence of each species",87550,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria species, direct probe technique",38.91749599,Present in Autoproposal
0109U,"Infectious disease (Aspergillus species), real-time PCR for detection of DNA from 4 species (A. fumigatus, A. terreus, A. niger, and A. flavus), blood, lavage fluid, or tissue, qualitative reporting of presence or absence of each species",87480,"Infectious agent detection by nucleic acid (DNA or RNA); Candida species, direct probe technique",38.56106507,Present in Autoproposal
0109U,"Infectious disease (Aspergillus species), real-time PCR for detection of DNA from 4 species (A. fumigatus, A. terreus, A. niger, and A. flavus), blood, lavage fluid, or tissue, qualitative reporting of presence or absence of each species",87551,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria species, amplified probe technique",38.19640011,Present in Autoproposal
0109U,"Infectious disease (Aspergillus species), real-time PCR for detection of DNA from 4 species (A. fumigatus, A. terreus, A. niger, and A. flavus), blood, lavage fluid, or tissue, qualitative reporting of presence or absence of each species",87481,"Infectious agent detection by nucleic acid (DNA or RNA); Candida species, amplified probe technique",37.85924755,Present in Autoproposal
0109U,"Infectious disease (Aspergillus species), real-time PCR for detection of DNA from 4 species (A. fumigatus, A. terreus, A. niger, and A. flavus), blood, lavage fluid, or tissue, qualitative reporting of presence or absence of each species",87500,"Infectious agent detection by nucleic acid (DNA or RNA); vancomycin resistance (eg, enterococcus species van A, van B), amplified probe technique",27.19708402,Present in Autoproposal
0109U,"Infectious disease (Aspergillus species), real-time PCR for detection of DNA from 4 species (A. fumigatus, A. terreus, A. niger, and A. flavus), blood, lavage fluid, or tissue, qualitative reporting of presence or absence of each species",86606,Antibody; Aspergillus,22.00756666,Present in Autoproposal
0109U,"Infectious disease (Aspergillus species), real-time PCR for detection of DNA from 4 species (A. fumigatus, A. terreus, A. niger, and A. flavus), blood, lavage fluid, or tissue, qualitative reporting of presence or absence of each species",87045,"Culture, bacterial; stool, aerobic, with isolation and preliminary examination (eg, KIA, LIA), Salmonella and Shigella species",20.19023525,Present in Autoproposal
0110U,"Prescription drug monitoring, one or more oral oncology drug(s) and substances, definitive tandem mass spectrometry with chromatography, serum or plasma from capillary blood or venous blood, quantitative report with steady-state range for the prescribed drug(s) when detected",0054U,"Prescription drug monitoring, 14 or more classes of drugs and substances, definitive tandem mass spectrometry with chromatography, capillary blood, quantitative report with therapeutic and toxic ranges, including steady-state range for the prescribed dose when detected, per date of service",70.79774355,Present in Autoproposal
0110U,"Prescription drug monitoring, one or more oral oncology drug(s) and substances, definitive tandem mass spectrometry with chromatography, serum or plasma from capillary blood or venous blood, quantitative report with steady-state range for the prescribed drug(s) when detected",0082U,"Drug test(s), definitive, 90 or more drugs or substances, definitive chromatography with mass spectrometry, and presumptive, any number of drug classes, by instrument chemistry analyzer (utilizing immunoassay), urine, report of presence or absence of each drug, drug metabolite or substance with description and severity of significant interactions per date of service",42.19921461,Present in Autoproposal
0110U,"Prescription drug monitoring, one or more oral oncology drug(s) and substances, definitive tandem mass spectrometry with chromatography, serum or plasma from capillary blood or venous blood, quantitative report with steady-state range for the prescribed drug(s) when detected",80302,"Drug screen, presumptive, single drug class from Drug Class List B, by immunoassay (eg, ELISA) or non-TLC chromatography without mass spectrometry (eg, GC, HPLC), each procedure",33.19602974,Present in Autoproposal
0110U,"Prescription drug monitoring, one or more oral oncology drug(s) and substances, definitive tandem mass spectrometry with chromatography, serum or plasma from capillary blood or venous blood, quantitative report with steady-state range for the prescribed drug(s) when detected",80377,"Drug(s) or substance(s), definitive, qualitative or quantitative, not otherwise specified; 7 or more",32.79376603,Present in Autoproposal
0110U,"Prescription drug monitoring, one or more oral oncology drug(s) and substances, definitive tandem mass spectrometry with chromatography, serum or plasma from capillary blood or venous blood, quantitative report with steady-state range for the prescribed drug(s) when detected",0011U,"Prescription drug monitoring, evaluation of drugs present by LC-MS/MS, using oral fluid, reported as a comparison to an estimated steady-state range, per date of service including all drug compounds and metabolites",31.85513378,Present in Autoproposal
0110U,"Prescription drug monitoring, one or more oral oncology drug(s) and substances, definitive tandem mass spectrometry with chromatography, serum or plasma from capillary blood or venous blood, quantitative report with steady-state range for the prescribed drug(s) when detected",0093U,"Prescription drug monitoring, evaluation of 65 common drugs by LC-MS/MS, urine, each drug reported detected or not detected",29.97078003,Present in Autoproposal
0110U,"Prescription drug monitoring, one or more oral oncology drug(s) and substances, definitive tandem mass spectrometry with chromatography, serum or plasma from capillary blood or venous blood, quantitative report with steady-state range for the prescribed drug(s) when detected",80375,"Drug(s) or substance(s), definitive, qualitative or quantitative, not otherwise specified; 1-3",29.92524293,Present in Autoproposal
0110U,"Prescription drug monitoring, one or more oral oncology drug(s) and substances, definitive tandem mass spectrometry with chromatography, serum or plasma from capillary blood or venous blood, quantitative report with steady-state range for the prescribed drug(s) when detected",80376,"Drug(s) or substance(s), definitive, qualitative or quantitative, not otherwise specified; 4-6",29.92524293,Present in Autoproposal
0110U,"Prescription drug monitoring, one or more oral oncology drug(s) and substances, definitive tandem mass spectrometry with chromatography, serum or plasma from capillary blood or venous blood, quantitative report with steady-state range for the prescribed drug(s) when detected",G0659,"DRUG TEST(S), DEFINITIVE, UTILIZING DRUG IDENTIFICATION METHODS ABLE TO IDENTIFY INDIVIDUAL DRUGS AND DISTINGUISH BETWEEN STRUCTURAL ISOMERS (BUT NOT NECESSARILY STEREOISOMERS), INCLUDING BUT NOT LIMITED TO GC/MS (ANY TYPE, SINGLE OR TANDEM) AND LC/MS (ANY TYPE, SINGLE OR TANDEM), EXCLUDING IMMUNOASSAYS (E.G., IA, EIA, ELISA, EMIT, FPIA) AND ENZYMATIC METHODS (E.G., ALCOHOL DEHYDROGENASE), PERFORMED WITHOUT METHOD OR DRUG-SPECIFIC CALIBRATION, WITHOUT MATRIX-MATCHED QUALITY CONTROL MATERIAL, OR WITHOUT USE OF STABLE ISOTOPE OR OTHER UNIVERSALLY RECOGNIZED INTERNAL STANDARD(S) FOR EACH DRUG, DRUG METABOLITE OR DRUG CLASS PER SPECIMEN; QUALITATIVE OR QUANTITATIVE, ALL SOURCES, INCLUDES SPECIMEN VALIDITY TESTING, PER DAY, ANY NUMBER OF DRUG CLASSES",29.48777808,Present in Autoproposal
0110U,"Prescription drug monitoring, one or more oral oncology drug(s) and substances, definitive tandem mass spectrometry with chromatography, serum or plasma from capillary blood or venous blood, quantitative report with steady-state range for the prescribed drug(s) when detected",0051U,"Prescription drug monitoring, evaluation of drugs present by LC-MS/MS, urine, 31 drug panel, reported as quantitative results, detected or not detected, per date of service",29.33785557,Present in Autoproposal
0111U,"Oncology (colon cancer), targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis utilizing formalin-fixed paraffin-embedded tissue",81311,"NRAS (neuroblastoma RAS viral [v-ras] oncogene homolog) (eg, colorectal carcinoma), gene analysis, variants in exon 2 (eg, codons 12 and 13) and exon 3 (eg, codon 61)",40.72287311,Present in Autoproposal
0111U,"Oncology (colon cancer), targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis utilizing formalin-fixed paraffin-embedded tissue",81275,"KRAS (Kirsten rat sarcoma viral oncogene homolog) (eg, carcinoma) gene analysis; variants in exon 2 (eg, codons 12 and 13)",38.11781132,Present in Autoproposal
0111U,"Oncology (colon cancer), targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis utilizing formalin-fixed paraffin-embedded tissue",81525,"Oncology (colon), mRNA, gene expression profiling by real-time RT-PCR of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence score",32.60505742,Present in Autoproposal
0111U,"Oncology (colon cancer), targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis utilizing formalin-fixed paraffin-embedded tissue",0047U,"Oncology (prostate), mRNA, gene expression profiling by real-time RT-PCR of 17 genes (12 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a risk score",28.92572763,Present in Autoproposal
0111U,"Oncology (colon cancer), targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis utilizing formalin-fixed paraffin-embedded tissue",0045U,"Oncology (breast ductal carcinoma in situ), mRNA, gene expression profiling by real-time RT-PCR of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score",27.41731935,Present in Autoproposal
0111U,"Oncology (colon cancer), targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis utilizing formalin-fixed paraffin-embedded tissue",81504,"Oncology (tissue of origin), microarray gene expression profiling of > 2000 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as tissue similarity scores",26.82940627,Present in Autoproposal
0111U,"Oncology (colon cancer), targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis utilizing formalin-fixed paraffin-embedded tissue",81519,"Oncology (breast), mRNA, gene expression profiling by real-time RT-PCR of 21 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score",25.08118365,Present in Autoproposal
0111U,"Oncology (colon cancer), targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis utilizing formalin-fixed paraffin-embedded tissue",81520,"Oncology (breast), mRNA gene expression profiling by hybrid capture of 58 genes (50 content and 8 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence risk score",24.77025167,Present in Autoproposal
0111U,"Oncology (colon cancer), targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis utilizing formalin-fixed paraffin-embedded tissue",0081U,"Oncology (uveal melanoma), mRNA, gene-expression profiling by real-time RT-PCR of 15 genes (12 content and 3 housekeeping genes), utilizing fine needle aspirate or formalin-fixed paraffin-embedded tissue, algorithm reported as risk of metastasis",24.72856871,Present in Autoproposal
0111U,"Oncology (colon cancer), targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis utilizing formalin-fixed paraffin-embedded tissue",G9843,RAS (KRAS OR NRAS) GENE MUTATION,22.91551111,Present in Autoproposal
0112U,"Infectious agent detection and identification, targeted sequence analysis (16S and 18S rRNA genes) with drug- resistance gene",87153,"Culture, typing; identification by nucleic acid sequencing method, each isolate (eg, sequencing of the 16S rRNA gene)",36.18547134,Present in Autoproposal
