NewCode,NewCodeDesc,SameSimCode,CPTDesc,Comments
0086U,"Infectious disease (bacterial and fungal), organism identification, blood culture, using rRNA FISH, 6 or more organism targets, reported as positive or negative with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility",87040,"Culture, bacterial; blood, aerobic, with isolation and presumptive identification of isolates (includes anaerobic culture, if appropriate)",Present Both in MD and Autoproposal
0086U,"Infectious disease (bacterial and fungal), organism identification, blood culture, using rRNA FISH, 6 or more organism targets, reported as positive or negative with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility",87797,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; direct probe technique, each organism",Present in Autoproposal
0086U,"Infectious disease (bacterial and fungal), organism identification, blood culture, using rRNA FISH, 6 or more organism targets, reported as positive or negative with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility",87798,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism",Present in Autoproposal
0086U,"Infectious disease (bacterial and fungal), organism identification, blood culture, using rRNA FISH, 6 or more organism targets, reported as positive or negative with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility",88366,"In situ hybridization (eg, FISH), per specimen; each multiplex probe stain procedure",Present only by MD
0086U,"Infectious disease (bacterial and fungal), organism identification, blood culture, using rRNA FISH, 6 or more organism targets, reported as positive or negative with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility",87800,"Infectious agent detection by nucleic acid (DNA or RNA), multiple organisms; direct probe(s) technique",Present only by MD
0087U,"Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score",81595,"Cardiology (heart transplant), mRNA, gene expression profiling by real-time quantitative PCR of 20 genes (11 content and 9 housekeeping), utilizing subfraction of peripheral blood, algorithm reported as a rejection risk score",Present Both in MD and Autoproposal
0087U,"Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score",81493,"Coronary artery disease, mRNA, gene expression profiling by real-time RT-PCR of 23 genes, utilizing whole peripheral blood, algorithm reported as a risk score",Present in Autoproposal
0087U,"Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score",81519,"Oncology (breast), mRNA, gene expression profiling by real-time RT-PCR of 21 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score",Present in Autoproposal
0087U,"Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score",81504,"Oncology (tissue of origin), microarray gene expression profiling of > 2000 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as tissue similarity scores",Present in Autoproposal
0087U,"Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score",0085T,Breath test for heart transplant rejection,Present in Autoproposal
0087U,"Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score",81525,"Oncology (colon), mRNA, gene expression profiling by real-time RT-PCR of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence score",Present in Autoproposal
0087U,"Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score",81520,"Oncology (breast), mRNA gene expression profiling by hybrid capture of 58 genes (50 content and 8 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence risk score",Present in Autoproposal
0087U,"Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score",81521,"Oncology (breast), mRNA, microarray gene expression profiling of 70 content genes and 465 housekeeping genes, utilizing fresh frozen or formalin-fixed paraffin-embedded tissue, algorithm reported as index related to risk of distant metastasis",Present in Autoproposal
0087U,"Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score",580,Anesthesia for heart transplant or heart/lung transplant,Present in Autoproposal
0087U,"Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score",81541,"Oncology (prostate), mRNA gene expression profiling by real-time RT-PCR of 46 genes (31 content and 15 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a disease-specific mortality risk score",Present in Autoproposal
0087U,"Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score",81267,"Chimerism (engraftment) analysis, post transplantation specimen (eg, hematopoietic stem cell), includes comparison to previously performed baseline analyses; without cell selection",Present only by MD
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",81595,"Cardiology (heart transplant), mRNA, gene expression profiling by real-time quantitative PCR of 20 genes (11 content and 9 housekeeping), utilizing subfraction of peripheral blood, algorithm reported as a rejection risk score",Present Both in MD and Autoproposal
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",81504,"Oncology (tissue of origin), microarray gene expression profiling of > 2000 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as tissue similarity scores",Present in Autoproposal
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",0085T,Breath test for heart transplant rejection,Present in Autoproposal
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",81493,"Coronary artery disease, mRNA, gene expression profiling by real-time RT-PCR of 23 genes, utilizing whole peripheral blood, algorithm reported as a risk score",Present in Autoproposal
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",81519,"Oncology (breast), mRNA, gene expression profiling by real-time RT-PCR of 21 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score",Present in Autoproposal
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",81521,"Oncology (breast), mRNA, microarray gene expression profiling of 70 content genes and 465 housekeeping genes, utilizing fresh frozen or formalin-fixed paraffin-embedded tissue, algorithm reported as index related to risk of distant metastasis",Present in Autoproposal
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",81525,"Oncology (colon), mRNA, gene expression profiling by real-time RT-PCR of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence score",Present in Autoproposal
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",81520,"Oncology (breast), mRNA gene expression profiling by hybrid capture of 58 genes (50 content and 8 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence risk score",Present in Autoproposal
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",81541,"Oncology (prostate), mRNA gene expression profiling by real-time RT-PCR of 46 genes (31 content and 15 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a disease-specific mortality risk score",Present in Autoproposal
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",81545,"Oncology (thyroid), gene expression analysis of 142 genes, utilizing fine needle aspirate, algorithm reported as a categorical result (eg, benign or suspicious)",Present in Autoproposal
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",81267,"Chimerism (engraftment) analysis, post transplantation specimen (eg, hematopoietic stem cell), includes comparison to previously performed baseline analyses; without cell selection",Present only by MD
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",50360,"Renal allotransplantation, implantation of graft; without recipient nephrectomy",Present only by MD
0088U,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection",88305,"Level IV - Surgical pathology, gross and microscopic examination Abortion - spontaneous/missed Artery, biopsy Bone marrow, biopsy Bone exostosis Brain/meninges, other than for tumor resection Breast, biopsy, not requiring microscopic evaluation of surgical margins Breast, reduction mammoplasty Bronchus, biopsy Cell block, any source Cervix, biopsy Colon, biopsy Duodenum, biopsy Endocervix, curettings/biopsy Endometrium, curettings/biopsy Esophagus, biopsy Extremity, amputation, traumatic Fallopian tube, biopsy Fallopian tube, ectopic pregnancy Femoral head, fracture Fingers/toes, amputation, non-traumatic Gingiva/oral mucosa, biopsy Heart valve Joint, resection Kidney, biopsy Larynx, biopsy Leiomyoma(s), uterine myomectomy - without uterus Lip, biopsy/wedge resection Lung, transbronchial biopsy Lymph node, biopsy Muscle, biopsy Nasal mucosa, biopsy Nasopharynx/oropharynx, biopsy Nerve, biopsy Odontogenic/dental cyst Omentum, biopsy Ovary with or without tube, non-neoplastic Ovary, biopsy/wedge resection Parathyroid gland Peritoneum, biopsy Pituitary tumor Placenta, other than third trimester Pleura/pericardium - biopsy/tissue Polyp, cervical/endometrial Polyp, colorectal Polyp, stomach/small intestine Prostate, needle biopsy Prostate, TUR Salivary gland, biopsy Sinus, paranasal biopsy Skin, other than cyst/tag/debridement/plastic repair Small intestine, biopsy Soft tissue, other than tumor/mass/lipoma/debridement Spleen Stomach, biopsy Synovium Testis, other than tumor/biopsy/castration Thyroglossal duct/brachial cleft cyst Tongue, biopsy Tonsil, biopsy Trachea, biopsy Ureter, biopsy Urethra, biopsy Urinary bladder, biopsy Uterus, with or without tubes and ovaries, for prolapse Vagina, biopsy Vulva/labia, biopsy",Present only by MD
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",S3854,GENE EXPRESSION PROFILING PANEL FOR USE IN THE MANAGEMENT OF BREAST CANCER TREATMENT,Present in Autoproposal
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",81519,"Oncology (breast), mRNA, gene expression profiling by real-time RT-PCR of 21 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score",Present in Autoproposal
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",81525,"Oncology (colon), mRNA, gene expression profiling by real-time RT-PCR of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence score",Present in Autoproposal
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",81520,"Oncology (breast), mRNA gene expression profiling by hybrid capture of 58 genes (50 content and 8 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence risk score",Present in Autoproposal
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",G8944,AJCC MELANOMA CANCER STAGE 0 THROUGH IIC MELANOMA,Present in Autoproposal
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",81504,"Oncology (tissue of origin), microarray gene expression profiling of > 2000 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as tissue similarity scores",Present in Autoproposal
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",81541,"Oncology (prostate), mRNA gene expression profiling by real-time RT-PCR of 46 genes (31 content and 15 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a disease-specific mortality risk score",Present in Autoproposal
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",81493,"Coronary artery disease, mRNA, gene expression profiling by real-time RT-PCR of 23 genes, utilizing whole peripheral blood, algorithm reported as a risk score",Present in Autoproposal
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",35302,"Thromboendarterectomy, including patch graft, if performed; superficial femoral artery",Present in Autoproposal
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",A4330,"PERIANAL FECAL COLLECTION POUCH WITH ADHESIVE, EACH",Present in Autoproposal
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",0400T,Multi-spectral digital skin lesion analysis of clinically atypical cutaneous pigmented lesions for detection of melanomas and high risk melanocytic atypia; one to five lesions,Present only by MD
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",0081U,"Oncology (uveal melanoma), mRNA, gene-expression profiling by real-time RT-PCR of 15 genes (12 content and 3 housekeeping genes), utilizing fine needle aspirate or formalin-fixed paraffin-embedded tissue, algorithm reported as risk of metastasis",Present only by MD
0089U,"Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)",81210,"BRAF (B-Raf proto-oncogene, serine/threonine kinase) (eg, colon cancer, melanoma), gene analysis, V600 variant(s)",Present only by MD
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",81525,"Oncology (colon), mRNA, gene expression profiling by real-time RT-PCR of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence score",Present Both in MD and Autoproposal
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",81541,"Oncology (prostate), mRNA gene expression profiling by real-time RT-PCR of 46 genes (31 content and 15 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a disease-specific mortality risk score",Present in Autoproposal
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",81519,"Oncology (breast), mRNA, gene expression profiling by real-time RT-PCR of 21 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score",Present in Autoproposal
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",81520,"Oncology (breast), mRNA gene expression profiling by hybrid capture of 58 genes (50 content and 8 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence risk score",Present in Autoproposal
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",81521,"Oncology (breast), mRNA, microarray gene expression profiling of 70 content genes and 465 housekeeping genes, utilizing fresh frozen or formalin-fixed paraffin-embedded tissue, algorithm reported as index related to risk of distant metastasis",Present in Autoproposal
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",81493,"Coronary artery disease, mRNA, gene expression profiling by real-time RT-PCR of 23 genes, utilizing whole peripheral blood, algorithm reported as a risk score",Present in Autoproposal
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",81504,"Oncology (tissue of origin), microarray gene expression profiling of > 2000 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as tissue similarity scores",Present in Autoproposal
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",81540,"Oncology (tumor of unknown origin), mRNA, gene expression profiling by real-time RT-PCR of 92 genes (87 content and 5 housekeeping) to classify tumor into main cancer type and subtype, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a probability of a predicted main cancer type and subtype",Present in Autoproposal
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",81595,"Cardiology (heart transplant), mRNA, gene expression profiling by real-time quantitative PCR of 20 genes (11 content and 9 housekeeping), utilizing subfraction of peripheral blood, algorithm reported as a rejection risk score",Present in Autoproposal
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",81545,"Oncology (thyroid), gene expression analysis of 142 genes, utilizing fine needle aspirate, algorithm reported as a categorical result (eg, benign or suspicious)",Present in Autoproposal
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",0400T,Multi-spectral digital skin lesion analysis of clinically atypical cutaneous pigmented lesions for detection of melanomas and high risk melanocytic atypia; one to five lesions,Present only by MD
0090U,"Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a categorical result (ie, benign, indeterminate, malignant)",0081U,"Oncology (uveal melanoma), mRNA, gene-expression profiling by real-time RT-PCR of 15 genes (12 content and 3 housekeeping genes), utilizing fine needle aspirate or formalin-fixed paraffin-embedded tissue, algorithm reported as risk of metastasis",Present only by MD
0091U,"Oncology (colorectal) screening, cell enumeration of circulating tumor cells, utilizing whole blood, algorithm, for the presence of adenoma or cancer, reported as a positive or negative result",81528,"Oncology (colorectal) screening, quantitative real-time target and signal amplification of 10 DNA markers (KRAS mutations, promoter methylation of NDRG4 and BMP3) and fecal hemoglobin, utilizing stool, algorithm reported as a positive or negative result",Present Both in MD and Autoproposal
0091U,"Oncology (colorectal) screening, cell enumeration of circulating tumor cells, utilizing whole blood, algorithm, for the presence of adenoma or cancer, reported as a positive or negative result",0279T,"Cell enumeration using immunologic selection and identification in fluid specimen (eg, circulating tumor cells in blood);",Present in Autoproposal
0091U,"Oncology (colorectal) screening, cell enumeration of circulating tumor cells, utilizing whole blood, algorithm, for the presence of adenoma or cancer, reported as a positive or negative result",86152,"Cell enumeration using immunologic selection and identification in fluid specimen (eg, circulating tumor cells in blood)",Present Both in MD and Autoproposal
0091U,"Oncology (colorectal) screening, cell enumeration of circulating tumor cells, utilizing whole blood, algorithm, for the presence of adenoma or cancer, reported as a positive or negative result",G9933,ADENOMA(S) OR COLORECTAL CANCER DETECTED DURING SCREENING COLONOSCOPY,Present in Autoproposal
0091U,"Oncology (colorectal) screening, cell enumeration of circulating tumor cells, utilizing whole blood, algorithm, for the presence of adenoma or cancer, reported as a positive or negative result",0280T,"Cell enumeration using immunologic selection and identification in fluid specimen (eg, circulating tumor cells in blood); interpretation and report",Present in Autoproposal
0091U,"Oncology (colorectal) screening, cell enumeration of circulating tumor cells, utilizing whole blood, algorithm, for the presence of adenoma or cancer, reported as a positive or negative result",G9935,ADENOMA(S) OR COLORECTAL CANCER NOT DETECTED DURING SCREENING COLONOSCOPY,Present in Autoproposal
0091U,"Oncology (colorectal) screening, cell enumeration of circulating tumor cells, utilizing whole blood, algorithm, for the presence of adenoma or cancer, reported as a positive or negative result",S3711,CIRCULATING TUMOR CELL TEST,Present in Autoproposal
