CPTCode,CPTLongDesc
01656,ANESTH ARM-LEG VESSEL SURG
0165T,REVISE LUMB ARTIF DISC ADDL
0166T,TCATH VSD CLOSE W/O BYPASS
01670,ANESTH SHOULDER VEIN SURG
0167T,TCATH VSD CLOSE W/BYPASS
01680,ANESTH SHOULDER CASTING
01682,ANESTH AIRPLANE CAST
0168T,RHINOPHOTOTX LIGHT APP BILAT
0169T,PLACE STEREO CATH BRAIN
01700,"ANESTH, ELBOW AREA SKIN SURG"
0170T,ANORECTAL FISTULA PLUG RPR
01710,ANESTH ELBOW AREA SURGERY
01712,ANESTH UPPR ARM TENDON SURG
01714,ANESTH UPPR ARM TENDON SURG
01716,ANESTH BICEPS TENDON REPAIR
0171T,LUMBAR SPINE PROCES DISTRACT
0172T,LUMBAR SPINE PROCESS ADDL
01730,ANESTH UPPR ARM PROCEDURE
01732,ANESTH DX ELBOW ARTHROSCOPY
0173T,IOP MONIT IO PRESSURE
01740,ANESTH UPPER ARM SURGERY
01742,ANESTH HUMERUS SURGERY
01744,ANESTH HUMERUS REPAIR
0174T,CAD CXR WITH INTERP
01756,ANESTH RADICAL HUMERUS SURG
01758,ANESTH HUMERAL LESION SURG
0175T,CAD CXR REMOTE
01760,ANESTH ELBOW REPLACEMENT
0176T,AQU CANAL DILAT W/O RETENT
01770,ANESTH UPPR ARM ARTERY SURG
01772,ANESTH UPPR ARM EMBOLECTOMY
0177T,AQU CANAL DILAT W RETENT
01780,ANESTH UPPER ARM VEIN SURG
01782,ANESTH UPPR ARM VEIN REPAIR
01784,ANES- REPR ART-VEN FIST CONGEN/ACQU
0178T,64 LEAD ECG W/I&R
0179T,64 LEAD ECG W/TRACING
01800,"ANESTH, LOWER ARM SKIN SURG"
0180T,64 LEAD ECG W/I&R ONLY
01810,ANESTH LOWER ARM SURGERY
0181T,CORNEAL HYSTERESIS
01820,ANESTH LOWER ARM PROCEDURE
01829,ANESTH DX WRIST ARTHROSCOPY
0182T,HDR ELECT BRACHYTHERAPY
01830,ANESTH LOWER ARM SURGERY
01832,ANESTH WRIST REPLACEMENT
01840,ANESTH LWR ARM ARTERY SURG
01842,ANESTH LWR ARM EMBOLECTOMY
01844,ANESTH VASCULAR SHUNT SURG
01850,ANESTH LOWER ARM VEIN SURG
01852,ANESTH LWR ARM VEIN REPAIR
01860,ANESTH LOWER ARM CASTING
01900,"ANESTH, UTERUS/TUBE INJECT"
01902,"ANESTH, BURR HOLES, SKULL"
01904,"ANESTH, SKULL X-RAY INJECT"
01905,"ANES, SPINE INJECT, X-RAY/RE"
01906,"ANESTH, LUMBAR MYELOGRAPHY"
01908,"ANESTH, CERVICAL MYELOGRAPHY"
01910,"ANESTH, SKULL MYELOGRAPHY"
01912,"ANESTH, LUMBAR DISKOGRAPHY"
01914,"ANESTH, CERVICAL DISKOGRAPHY"
01916,ANESTH DX ARTERIOGRAPHY
01918,"ANESTH, LIMB ARTERIOGRAM"
01920,ANESTH CATHETERIZE HEART
01921,"ANESTH, VESSEL SURGERY"
01922,ANESTH CAT OR MRI SCAN
01924,ANES THER INTERVEN RAD ARTRL
01925,ANES THER INTERVEN RAD CARD
01926,ANES TX INTERV RAD HRT/CRAN
01930,ANES THER INTERVEN RAD VEIN
01931,ANES THER INTERVEN RAD TIPS
01932,ANES TX INTERV RAD TH VEIN
01933,ANES TX INTERV RAD CRAN VEIN
01951,ANESTH BURN LESS 4 PERCENT
01952,ANESTH BURN 4-9 PERCENT
01953,ANESTH BURN EACH 9 PERCENT
01958,ANESTH ANTEPARTUM MANIPUL
01960,ANESTH VAGINAL DELIVERY
01961,ANESTH CS DELIVERY
01962,ANESTH EMER HYSTERECTOMY
01963,ANESTH CS HYSTERECTOMY
01964,"ANESTH, ABORTION PROCEDURES"
01965,ANESTH INC/MISSED AB PROC
01966,ANESTH INDUCED AB PROCEDURE
01967,ANESTH/ANALG VAG DELIVERY
00868,ANESTH KIDNEY TRANSPLANT
00869,"ANESTH, VASECTOMY"
0086T,L VENTRICLE FILL PRESSURE
00870,ANESTH BLADDER STONE SURG
00872,ANESTH KIDNEY STONE DESTRUCT
00873,ANESTH KIDNEY STONE DESTRUCT
0087T,SPERM EVAL HYALURONAN
00880,ANESTH ABDOMEN VESSEL SURG
00882,ANESTH MAJOR VEIN LIGATION
00884,"ANESTH, MAJOR VEIN REVISION"
0088T,RF TONGUE BASE VOL REDUXN
0089T,"ACTIGRAPHY TESTING, 3-DAY"
00900,ANES- PERINEAL INTEG SYST; NOS
00902,ANESTH ANORECTAL SURGERY
00904,ANESTH PERINEAL SURGERY
00906,ANESTH REMOVAL OF VULVA
00908,ANESTH REMOVAL OF PROSTATE
0090T,CERVICAL ARTIFIC DISC
00910,ANESTH BLADDER SURGERY
00912,ANESTH BLADDER TUMOR SURG
00914,ANESTH REMOVAL OF PROSTATE
00916,ANESTH BLEEDING CONTROL
00918,ANESTH STONE REMOVAL
0091T,LUMBAR ARTIFIC DISC
00920,ANESTH GENITALIA SURGERY
00921,ANESTH VASECTOMY
00922,ANESTH SPERM DUCT SURGERY
00924,ANESTH TESTIS EXPLORATION
00926,ANESTH REMOVAL OF TESTIS
00928,ANESTH REMOVAL OF TESTIS
0092T,ARTIFIC DISC ADDL CERVICAL
00930,ANESTH TESTIS SUSPENSION
00932,ANESTH AMPUTATION OF PENIS
00934,ANESTH PENIS NODES REMOVAL
00936,ANESTH PENIS NODES REMOVAL
00938,ANESTH INSERT PENIS DEVICE
0093T,CERVICAL ARTIFIC DISKECTOMY
00940,ANESTH VAGINAL PROCEDURES
00942,ANESTH SURG ON VAG/URETHRAL
00944,ANESTH VAGINAL HYSTERECTOMY
00946,"ANESTH, VAGINAL DELIVERY"
00948,ANESTH REPAIR OF CERVIX
0094T,LUMBAR ARTIFIC DISKECTOMY
00950,ANESTH VAGINAL ENDOSCOPY
00952,ANESTH HYSTEROSCOPE/GRAPH
00955,"ANALGESIA, VAGINAL DELIVERY"
0095T,RMVL ARTIFIC DISC ADDL CRVCL
0096T,REV CERVICAL ARTIFIC DISC
0097T,REV LUMBAR ARTIFIC DISC
0098T,REV ARTIFIC DISC ADDL
0099T,IMPLANT CORNEAL RING
01000,"ANESTH, SKIN SURGERY, PELVIS"
0100T,PROSTH RETINA RECEIVE&GEN
0101T,EXTRACORP SHOCKWV TX HI ENRG
0102T,EXTRACORP SHOCKWV TX ANESTH
0103T,HOLOTRANSCOBALAMIN
0104T,AT REST CARDIO GAS REBREATHE
0105T,EXERC CARDIO GAS REBREATHE
0106T,TOUCH QUANT SENSORY TEST
0107T,VIBRATE QUANT SENSORY TEST
0108T,COOL QUANT SENSORY TEST
0109T,HEAT QUANT SENSORY TEST
0110T,NOS QUANT SENSORY TEST
01110,"ANESTH, SKIN SURGERY, PELVIS"
01112,ANESTH BONE ASPIRATE/BX
0111T,RBC MEMBRANES FATTY ACIDS
01120,ANESTH PELVIS SURGERY
01122,DELETED CODE
01130,ANESTH BODY CAST PROCEDURE
01140,ANESTH AMPUTATION AT PELVIS
01150,ANESTH PELVIC TUMOR SURGERY
0115T,MED TX MNGMT 15 MIN
01160,ANESTH PELVIS PROCEDURE
0116T,MED TX MNGMT SUBSQT
01170,ANESTH PELVIS SURGERY
01173,ANESTH FX REPAIR PELVIS
01175,"ANESTH, PELVIC ACETABULAR FRACTURE"
0117T,MED TX MNGMT ADDL 15 MIN
01180,ANESTH PELVIS NERVE REMOVAL
01190,ANESTH PELVIS NERVE REMOVAL
01200,ANESTH HIP JOINT PROCEDURE
01202,ANESTH ARTHROSCOPY OF HIP
0120T,"FIBROADENOMA CRYOABLATE, EA"
01210,ANESTH HIP JOINT SURGERY
01212,ANESTH HIP DISARTICULATION
01214,ANESTH HIP ARTHROPLASTY
01215,ANESTH REVISE HIP REPAIR
01220,ANESTH PROCEDURE ON FEMUR
01230,ANESTH SURGERY OF FEMUR
01232,ANESTH AMPUTATION OF FEMUR
01234,ANESTH RADICAL FEMUR SURG
0123T,SCLERAL FISTULIZATION
01240,"ANESTH, UPPER LEG SKIN SURG"
0124T,CONJUNCTIVAL DRUG PLACEMENT
01250,ANESTH UPPER LEG SURGERY
01260,ANESTH UPPER LEG VEINS SURG
0126T,CHD RISK IMT STUDY
01270,ANESTH THIGH ARTERIES SURG
0001F,HEART FAILURE COMPOSITE
0001T,ENDOVAS REPR ABDO AO ANEURYS
0002F,"TOBACCO USE, SMOKING, ASSESS"
0002T,ENDOVAS REPR ABDO AO ANEURYS
0003F,"TOBACCO USE, NON-SMOKING"
0003T,CERVICOGRAPHY
0004F,TOBACCO USE TXMNT COUNSELING
0005F,OSTEOARTHRITIS COMPOSITE
0005T,PERC CATH STENT/BRAIN CV ART
0006F,"STATIN THERAPY, PRESCRIBED"
0006T,PERC CATH STENT/BRAIN CV ART
0007F,BETA-BLOCKER THX PRESCRIBED
0007T,PERC CATH STENT/BRAIN CV ART
0008F,ACE INHIBITOR THX PRESCRIBED
0008T,UPPER GI ENDOSCOPY W/SUTURE
0009F,ASSESS ANGINAL SYMPTOM/LEVEL
0009T,ENDOMETRIAL CRYOABLATION
00100,ANESTH SALIVARY GLAND
00102,ANESTH REPAIR OF CLEFT LIP
00103,ANESTH BLEPHAROPLASTY
00104,ANESTH ELECTROSHOCK
0010F,ASSESS ANGINAL SYMPTOM/LEVEL
0010T,"TB TEST, GAMMA INTERFERON"
0011F,ORAL ANTIPLAT THX PRESCRIBED
00120,ANESTH EAR SURGERY
00122,DELETED CODE
00124,ANESTH EAR EXAM
00126,ANESTH TYMPANOTOMY
0012F,CAP BACTERIAL ASSESS
0012T,OSTEOCHONDRAL KNEE AUTOGRAFT
0013T,OSTEOCHONDRAL KNEE ALLOGRAFT
00140,ANESTH PROCEDURES ON EYE
00142,ANESTH LENS SURGERY
00144,ANESTH CORNEAL TRANSPLANT
00145,ANESTH VITREORETINAL SURG
00146,DELETED CODE
00147,ANESTH IRIDECTOMY
00148,ANESTH EYE EXAM
0014T,"MENISCAL TRANSPLANT, KNEE"
00160,ANESTH NOSE/SINUS SURGERY
00162,ANESTH NOSE/SINUS SURGERY
00164,ANESTH BIOPSY OF NOSE
0016T,THERMOTX CHOROID VASC LESION
00170,ANESTH PROCEDURE ON MOUTH
00172,ANESTH CLEFT PALATE REPAIR
00174,ANESTH PHARYNGEAL SURGERY
00176,ANESTH PHARYNGEAL SURGERY
0017T,PHOTOCOAGULAT MACULAR DRUSEN
0018T,TRANSCRANIAL MAGNETIC STIMUL
00190,ANESTH FACE/SKULL BONE SURG
00192,ANESTH FACIAL BONE SURGERY
0019T,EXTRACORP SHOCK WV TX MS NOS
0020T,"EXTRACORP SHOCK WAVE TX, FT"
00210,ANESTH CRANIAL SURG NOS
00212,ANESTH SKULL DRAINAGE
00214,ANESTH SKULL DRAINAGE
00215,ANESTH SKULL REPAIR/FRACT
00216,ANESTH HEAD VESSEL SURGERY
00218,ANESTH SPECIAL HEAD SURGERY
0021T,"FETAL OXIMETRY, TRNSVAG/CERV"
00220,ANESTH INTRCRN NERVE
00222,ANESTH HEAD NERVE SURGERY
0023T,"PHENOTYPE DRUG TEST, HIV 1"
0024T,TRANSCATH CARDIAC REDUCTION
0025T,ULTRASONIC PACHYMETRY
0026T,MEASURE REMNANT LIPOPROTEINS
0027T,ENDOSCOPIC EPIDURAL LYSIS
0028T,DEXA BODY COMPOSITION STUDY
0029T,MAGNETIC TX FOR INCONTINENCE
00300,ANESTH HEAD/NECK/PTRUNK
0030T,ANTIPROTHROMBIN ANTIBODY
0031T,SPECULOSCOPY
00320,ANESTH NECK ORGAN 1YR/>
00322,ANESTH BIOPSY OF THYROID
00326,ANESTH LARYNX/TRACH < 1 YR
0032T,SPECULOSCOPY W/DIRECT SAMPLE
0033T,ENDOVASC TAA REPR INCL SUBCL
0034T,ENDOVASC TAA REPR W/O SUBCL
00350,ANESTH NECK VESSEL SURGERY
00352,ANESTH NECK VESSEL SURGERY
0035T,"INSERT ENDOVASC PROSTH, TAA"
0036T,"ENDOVASC PROSTH, TAA, ADD-ON"
0037T,ARTERY TRANSPOSE/ENDOVAS TAA
0038T,RAD ENDOVASC TAA RPR W/COVER
0039T,"RAD S/I, ENDOVASC TAA REPAIR"
00400,ANESTH SKIN EXT/PER/ATRUNK
00402,ANESTH SURGERY OF BREAST
00404,ANESTH SURGERY OF BREAST
00406,ANESTH SURGERY OF BREAST
0040T,"RAD S/I, ENDOVASC TAA PROSTH"
00410,ANESTH CORRECT HEART RHYTHM
0041T,DETECT UR INFECT AGNT W/CPAS
00420,"ANESTH, SKIN SURGERY, BACK"
0042T,CT PERFUSION W/CONTRAST CBF
0043T,CO EXPIRED GAS ANALYSIS
0044T,WHOLE BODY PHOTOGRAPHY
00450,ANESTH SURGERY OF SHOULDER
00452,ANESTH SURGERY OF SHOULDER
00454,ANESTH COLLAR BONE BIOPSY
0045T,WHOLE BODY PHOTOGRAPHY
0046T,"CATH LAVAGE, MAMMARY DUCT(S)"
00470,ANESTH REMOVAL OF RIB
00472,ANESTH CHEST WALL REPAIR
00474,ANESTH SURGERY OF RIB
00476,DELETED CODE
0047T,"CATH LAVAGE, MAMMARY DUCT(S)"
0048T,IMPLANT VENTRICULAR DEVICE
0049T,EXTERNAL CIRCULATION ASSIST
00500,ANESTH ESOPHAGEAL SURGERY
0050T,REMOVAL CIRCULATION ASSIST
0051T,IMPLANT TOTAL HEART SYSTEM
00520,ANESTH CHEST PROCEDURE
00522,ANESTH CHEST LINING BIOPSY
00524,ANESTH CHEST DRAINAGE
00526,DELETED CODE
00528,ANES MEDIASCPY & DX THORSCPY
00529,ANES MEDSCPY&THORSCPY 1 LUNG
0052T,REPLACE THRC UNIT HRT SYST
00530,ANESTH PACEMAKER INSERTION
00532,ANESTH VASCULAR ACCESS
00534,ANESTH CARDIOVERTER/DEFIB
00537,ANESTH CARDIAC ELECTROPHYS
00539,ANESTH TRACH-BRONCH RECONST
0053T,REPLACE IMPLANTABLE HRT SYST
00540,ANESTH CHEST SURGERY
00541,ANESTH ONE LUNG VENTILATION
00542,ANESTHESIA REMOVAL PLEURA
00544,"ANESTH, CHEST LINING REMOVAL"
00546,ANESTH LUNG CHEST WALL SURG
00548,ANESTH TRACHEA BRONCHI SURG
0054T,BONE SRGRY CMPTR FLUOR IMAGE
00550,ANESTH STERNAL DEBRIDEMENT
0055T,BONE SRGRY CMPTR CT/MRI IMAG
00560,ANESTH HEART SURG W/O PUMP
00561,ANESTH HEART SURG <1 YR
00562,ANESTH HRT SURG W/PMP AGE 1+
00563,ANESTH HEART SURG W/ARREST
00566,ANESTH CABG W/O PUMP
0056T,BONE SURGERY USING COMPUTER
0057T,UPPR GI SCOPE W/ THRML TXMNT
00580,ANESTH HEART/LUNG TRANSPLNT
0058T,CRYOPRESERVATION OVARY TISS
0059T,CRYOPRESERVATION OOCYTE
00600,ANESTH SPINE CORD SURGERY
00604,ANESTH SITTING PROCEDURE
0060T,ELECTRICAL IMPEDANCE SCAN
0061T,"DESTRUCTION OF TUMOR, BREAST"
00620,ANESTH SPINE CORD SURGERY
00622,ANESTH REMOVAL OF NERVES
00625,ANES SPINE TRANTHOR W/O VENT
00626,ANES SPINE TRANSTHOR W/VENT
0062T,REP INTRADISC ANNULUS;1 LEV
00630,ANESTH SPINE CORD SURGERY
00632,ANESTH REMOVAL OF NERVES
00634,ANESTH FOR CHEMONUCLEOLYSIS
00635,ANESTH LUMBAR PUNCTURE
0063T,REP INTRADISC ANNULUS;>1LEV
00640,ANESTH SPINE MANIPULATION
0064T,SPECTROSCOP EVAL EXPIRED GAS
00650,DELETED CODE
0065T,OCULAR PHOTOSCREEN BILAT
0066T,CT COLONOGRAPHY;SCREEN
00670,ANESTH SPINE CORD SURGERY
0067T,CT COLONOGRAPHY;DX
0068T,INTERP/REPT HEART SOUND
0069T,ANALYSIS ONLY HEART SOUND
00700,ANESTH ABDOMINAL WALL SURG
00702,ANESTH FOR LIVER BIOPSY
0070T,INTERP ONLY HEART SOUND
0071T,US LEIOMYOMATA ABLATE <200
0072T,US LEIOMYOMATA ABLATE >200
00730,ANESTH ABDOMINAL WALL SURG
0073T,DELIVERY COMP IMRT
00740,ANESTH UPPER GI VISUALIZE
0074T,ONLINE PHYSICIAN E/M
00750,ANESTH REPAIR OF HERNIA
00752,ANESTH REPAIR OF HERNIA
00754,ANESTH REPAIR OF HERNIA
00756,ANESTH REPAIR OF HERNIA
0075T,PERQ STENT/CHEST VERT ART
0076T,S&I STENT/CHEST VERT ART
00770,ANESTH BLOOD VESSEL REPAIR
0077T,CEREB THERM PERFUSION PROBE
0078T,ENDOVASC AORT REPR W/DEVICE
00790,ANESTH SURG UPPER ABDOMEN
00792,ANESTH HEMORR/EXCISE LIVER
00794,ANESTH PANCREAS REMOVAL
00796,ANESTH FOR LIVER TRANSPLANT
00797,ANESTH SURGERY FOR OBESITY
0079T,ENDOVASC VISC EXTNSN REPR
00800,ANESTH ABDOMINAL WALL SURG
00802,ANESTH FAT LAYER REMOVAL
00806,DELETED CODE
0080T,ENDOVASC AORT REPR RAD S&I
00810,ANESTH LOW INTESTINE SCOPE
0081T,ENDOVASC VISC EXTNSN S&I
00820,ANESTH ABDOMINAL WALL SURG
0082T,STEREOTACTIC RAD DELIVERY
00830,ANESTH REPAIR OF HERNIA
00832,ANESTH REPAIR OF HERNIA
00834,ANESTH HERNIA REPAIR < 1 YR
00836,ANESTH HERNIA REPAIR PREEMIE
0083T,STEREOTACTIC RAD TX MNGMT
00840,ANESTH SURG LOWER ABDOMEN
00842,ANESTH AMNIOCENTESIS
00844,ANESTH PELVIS SURGERY
00846,ANESTH HYSTERECTOMY
00848,ANESTH PELVIC ORGAN SURG
0084T,TEMP PROSTATE URETHRAL STENT
00850,"ANESTH, CESAREAN SECTION"
00851,ANESTH TUBAL LIGATION
00855,"ANESTH, HYSTERECTOMY"
00857,"ANALGESIA, LABOR & C-SECTION"
0085T,BREATH TEST HEART REJECT
00860,ANESTH SURGERY OF ABDOMEN
00862,ANESTH KIDNEY/URETER SURG
00864,ANESTH REMOVAL OF BLADDER
00865,ANESTH REMOVAL OF PROSTATE
00866,ANESTH REMOVAL OF ADRENAL
12056,INTMD RPR FACE/MM 20.1-30.0
12057,INTMD RPR FACE/MM >30.0 CM
13100,CMPLX RPR TRUNK 1.1-2.5 CM
13101,CMPLX RPR TRUNK 2.6-7.5 CM
13102,CMPLX RPR TRUNK ADDL 5CM/<
13120,CMPLX RPR S/A/L 1.1-2.5 CM
13121,CMPLX RPR S/A/L 2.6-7.5 CM
13122,CMPLX RPR S/A/L ADDL 5 CM/>
13131,CMPLX RPR F/C/C/M/N/AX/G/H/F
13132,CMPLX RPR F/C/C/M/N/AX/G/H/F
13133,CMPLX RPR F/C/C/M/N/AX/G/H/F
13150,CMPLX RPR E/N/E/L 1.0 CM/<
13151,CMPLX RPR E/N/E/L 1.1-2.5 CM
13152,CMPLX RPR E/N/E/L 2.6-7.5 CM
13153,CMPLX RPR E/N/E/L ADDL 5CM/<
13160,LATE CLOSURE OF WOUND
13300,REPAIR OF WOUND OR LESION
14000,TIS TRNFR TRUNK 10 SQ CM/<
14001,TIS TRNFR TRUNK 10.1-30SQCM
14020,TIS TRNFR S/A/L 10 SQ CM/<
14021,TIS TRNFR S/A/L 10.1-30 SQCM
14040,TIS TRNFR F/C/C/M/N/A/G/H/F
14041,TIS TRNFR F/C/C/M/N/A/G/H/F
14060,TIS TRNFR E/N/E/L 10 SQ CM/<
14061,TIS TRNFR E/N/E/L10.1-30SQCM
14300,SKIN TISSUE REARRANGEMENT
14350,FILLETED FINGER/TOE FLAP
15000,"WOUND PREP, 1ST 100 SQ CM"
15001,"WOUND PREP, ADDL 100 SQ CM"
15002,WOUND PREP TRK/ARM/LEG
15003,WOUND PREP ADDL 100 CM
15004,WOUND PREP F/N/HF/G
15005,WND PREP F/N/HF/G ADDL CM
15040,HARVEST CULTURED SKIN GRAFT
15050,SKIN PINCH GRAFT
15100,SKIN SPLT GRFT TRNK/ARM/LEG
15101,SKIN SPLT GRFT T/A/L ADD-ON
15110,EPIDRM AUTOGRFT TRNK/ARM/LEG
15111,EPIDRM AUTOGRFT T/A/L ADD-ON
15115,EPIDRM A-GRFT FACE/NCK/HF/G
15116,EPIDRM A-GRFT F/N/HF/G ADDL
15120,SKN SPLT A-GRFT FAC/NCK/HF/G
15121,SKN SPLT A-GRFT F/N/HF/G ADD
15130,DERM AUTOGRAFT TRNK/ARM/LEG
15131,DERM AUTOGRAFT T/A/L ADD-ON
15135,DERM AUTOGRAFT FACE/NCK/HF/G
15136,DERM AUTOGRAFT F/N/HF/G ADD
15150,CULT SKIN GRFT T/ARM/LEG
15151,CULT SKIN GRFT T/A/L ADDL
15152,CULT SKIN GRAFT T/A/L +%
15155,CULT SKIN GRAFT F/N/HF/G
15156,CULT SKIN GRFT F/N/HFG ADD
15157,CULT EPIDERM GRFT F/N/HFG +%
15170,ACELL GRAFT TRUNK/ARMS/LEGS
15171,ACELL GRAFT T/ARM/LEG ADD-ON
15175,ACELLULAR GRAFT F/N/HF/G
15176,ACELL GRAFT F/N/HF/G ADD-ON
15200,SKIN FULL GRAFT TRUNK
15201,SKIN FULL GRAFT TRUNK ADD-ON
15220,SKIN FULL GRAFT SCLP/ARM/LEG
15221,SKIN FULL GRAFT ADD-ON
15240,SKIN FULL GRFT FACE/GENIT/HF
15241,SKIN FULL GRAFT ADD-ON
15260,SKIN FULL GRAFT EEN & LIPS
15261,SKIN FULL GRAFT ADD-ON
15300,APPLY SKINALLOGRFT T/ARM/LG
15301,APPLY SKNALLOGRFT T/A/L ADDL
15320,APPLY SKIN ALLOGRFT F/N/HF/G
15321,APLY SKNALLOGRFT F/N/HFG ADD
15330,APLY ACELL ALOGRFT T/ARM/LEG
15331,APLY ACELL GRFT T/A/L ADD-ON
15335,APPLY ACELL GRAFT F/N/HF/G
10001,DELETED CODE
10002,DELETED CODE
10003,DELETED CODE
10004,FNA BX W/O IMG GDN EA ADDL
10005,FNA BX W/US GDN 1ST LES
10006,FNA BX W/US GDN EA ADDL
10007,FNA BX W/FLUOR GDN 1ST LES
1000F,TOBACCO USE ASSESSED
10011,FNA BX W/MR GDN 1ST LES
10013,DELETED CODE
10014,DELETED CODE
10015,DELETED CODE
10016,DELETED CODE
10017,DELETED CODE
10018,DELETED CODE
10019,DELETED CODE
1001F,"TOBACCO USE, NON-SMOKING"
10020,DELETED CODE
10021,FNA BX W/O IMG GDN 1ST LES
10022,FNA W/IMAGE
1002F,ASSESS ANGINAL SYMPTOM/LEVEL
1003F,LEVEL OF ACTIVITY ASSESS
10040,ACNE SURGERY
1004F,CLIN SYMP VOL OVRLD ASSESS
1005F,ASTHMA SYMPTOMS EVALUATE
10060,DRAINAGE OF SKIN ABSCESS
10061,DRAINAGE OF SKIN ABSCESS
1006F,OSTEOARTHRITIS ASSESS
1007F,ANTI-INFLM/ANLGSC OTC ASSESS
10080,DRAINAGE OF PILONIDAL CYST
10081,DRAINAGE OF PILONIDAL CYST
1008F,GI/RENAL RISK ASSESS
10100,DELETED CODE
10101,DELETED CODE
10120,REMOVE FOREIGN BODY
10121,REMOVE FOREIGN BODY
10140,DRAINAGE OF HEMATOMA/FLUID
10141,DELETED CODE
1015F,COPD SYMPTOMS ASSESS
10160,PUNCTURE DRAINAGE OF LESION
10180,COMPLEX DRAINAGE WOUND
